"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"well_2166_DUKE_27_A_yes_30_5_S7350"	1465860	1137479	0.22	84	0.998	"kept"	FALSE	0.29	"recurrence"	1465860	328381	1137479	0.224019347004489
"well_2169_DUKE_27_A_yes_30_8_S7353"	1625703	1274263	0.22	94	0.963	"kept"	FALSE	0.32	"recurrence"	1625703	351440	1274263	0.216177247627642
"well_2173_DUKE_27_A_yes_30_12_S7357"	1546683	1180934	0.24	86	0.993	"kept"	FALSE	0.28	"recurrence"	1546683	365749	1180934	0.236473149313725
"well_2176_DUKE_27_A_yes_30_15_S7360"	1556249	1203390	0.23	88	0.927	"kept"	FALSE	0.29	"recurrence"	1556249	352859	1203390	0.226736852521672
"well_2179_DUKE_27_A_yes_30_18_S7363"	253150	215977	0.15	16	0.955	"kept"	FALSE	0.32	"recurrence"	253150	37173	215977	0.146841793403121
"well_2180_DUKE_27_A_yes_30_19_S7364"	1013907	824092	0.19	61	0.998	"kept"	FALSE	0.29	"recurrence"	1013907	189815	824092	0.187211450359846
"well_2184_DUKE_27_A_yes_30_23_S7368"	1814344	1357099	0.25	97	0.996	"kept"	FALSE	0.3	"recurrence"	1814344	457245	1357099	0.25201670686485
"well_2185_DUKE_27_A_yes_30_24_S7369"	2488590	1890281	0.24	136	0.994	"kept"	FALSE	0.29	"recurrence"	2488590	598309	1890281	0.24042088090043
"well_2188_DUKE_27_A_yes_30_27_S7372"	2154962	1575985	0.27	106	0.251	"removed"	FALSE	0.13	"recurrence"	2154962	578977	1575985	0.268671558941643
"well_2193_DUKE_27_A_yes_30_32_S7377"	2145363	1727976	0.19	127	0.999	"kept"	FALSE	0.28	"recurrence"	2145363	417387	1727976	0.194553089617002
"well_2197_DUKE_27_A_yes_30_36_S7381"	1547926	1167459	0.25	85	0.998	"kept"	FALSE	0.29	"recurrence"	1547926	380467	1167459	0.245791465483492
"well_2202_DUKE_27_A_yes_30_41_S7386"	1717345	1304128	0.24	96	0.995	"kept"	FALSE	0.28	"recurrence"	1717345	413217	1304128	0.240613854525445
"well_2205_DUKE_27_A_yes_30_44_S7389"	1683883	1308477	0.22	96	0.874	"kept"	FALSE	0.35	"recurrence"	1683883	375406	1308477	0.222940667492932
"well_2206_DUKE_27_A_yes_30_45_S7390"	1408694	1088212	0.23	80	0.996	"kept"	FALSE	0.28	"recurrence"	1408694	320482	1088212	0.227502921145401
