"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"SC89_NKI_12P_R12C34yesS_A_W_B2_S899"	1062991	826859	0.22	56	0.979	"kept"	FALSE	0.31	"primary"	1062991	236132	826859	0.222139227895627
"SC89_NKI_12P_R12C35yesS_A_W_B2_S900"	784180	645611	0.18	45	0.982	"kept"	FALSE	0.31	"primary"	784180	138569	645611	0.176705603305364
"SC89_NKI_12P_R12C38yesS_A_W_B1_S903"	471502	368687	0.22	24	0.959	"kept"	FALSE	0.27	"primary"	471502	102815	368687	0.218058459985323
"SC89_NKI_12P_R12C40yesS_A_W_B1_S905"	504295	428509	0.15	30	0.961	"kept"	FALSE	0.27	"primary"	504295	75786	428509	0.150281085475763
"SC89_NKI_12P_R12C41yesS_A_W_B1_S906"	894532	681840	0.24	46	0.953	"kept"	FALSE	0.31	"primary"	894532	212692	681840	0.237769023355229
"SC89_NKI_12P_R12C52yesS_A_W_B2_S917"	849801	635756	0.25	44	0.987	"kept"	FALSE	0.27	"primary"	849801	214045	635756	0.251876615819468
"SC89_NKI_12P_R12C53yesS_A_W_B2_S918"	729959	560375	0.23	41	0.79	"removed"	TRUE	0.03	"primary"	729959	169584	560375	0.232319897418896
"SC89_NKI_12P_R12C54yesS_A_W_B1_S919"	726284	565750	0.22	39	0.984	"kept"	FALSE	0.3	"primary"	726284	160534	565750	0.221034746738191
"SC89_NKI_12P_R13C12yesS_A_W_B2_S949"	631390	501602	0.21	33	0.974	"kept"	FALSE	0.34	"primary"	631390	129788	501602	0.205559163116299
"SC89_NKI_12P_R13C15yesS_A_W_B2_S952"	597242	453082	0.24	30	0.983	"kept"	FALSE	0.33	"primary"	597242	144160	453082	0.241376192565158
"SC89_NKI_12P_R13C16yesS_A_W_B2_S953"	679554	520201	0.23	38	0.334	"removed"	FALSE	0.11	"primary"	679554	159353	520201	0.234496449141643
"SC89_NKI_12P_R13C17yesS_A_W_B2_S954"	893717	725989	0.19	50	0.984	"kept"	FALSE	0.3	"primary"	893717	167728	725989	0.187674621832191
