"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"SC89_NKI_12P_R49C23yesS_A_W_B1_S3552"	2309723	1743060	0.25	118	0.961	"kept"	FALSE	0.42	"primary"	2309723	566663	1743060	0.245338077336546
"SC89_NKI_12P_R49C30yesS_A_W_B2_S3559"	2041675	1565201	0.23	107	0.988	"kept"	FALSE	0.31	"primary"	2041675	476474	1565201	0.233374067860947
"SC89_NKI_12P_R49C31yesS_A_W_B2_S3560"	1187229	922617	0.22	62	0.982	"kept"	FALSE	0.39	"primary"	1187229	264612	922617	0.222882021918265
"SC89_NKI_12P_R49C33yesS_A_W_B2_S3562"	1833556	1395700	0.24	94	0.982	"kept"	FALSE	0.35	"primary"	1833556	437856	1395700	0.238801541921817
"SC89_NKI_12P_R49C34yesS_A_W_B2_S3563"	2020470	1541996	0.24	114	0.857	"kept"	TRUE	0.01	"primary"	2020470	478474	1541996	0.236813216726801
"SC89_NKI_12P_R49C36yesS_A_W_B1_S3565"	1667091	1268335	0.24	91	0.935	"kept"	FALSE	0.15	"primary"	1667091	398756	1268335	0.239192701538188
"SC89_NKI_12P_R49C46yesS_A_W_B2_S3575"	465647	358014	0.23	22	0.932	"kept"	FALSE	0.37	"primary"	465647	107633	358014	0.231147199488024
"SC89_NKI_12P_R49C4yesS_A_W_B1_S3533"	1250088	912844	0.27	59	0.992	"kept"	FALSE	0.38	"primary"	1250088	337244	912844	0.269776207754974
"SC89_NKI_12P_R49C5yesS_A_W_B1_S3534"	1381535	1032973	0.25	69	0.973	"kept"	FALSE	0.35	"primary"	1381535	348562	1032973	0.252300520797519
"SC89_NKI_12P_R49C62yesS_A_W_B1_S3591"	1134677	866175	0.24	60	0.86	"kept"	FALSE	0.37	"primary"	1134677	268502	866175	0.236632980134435
"SC89_NKI_12P_R49C66yesS_A_W_B2_S3595"	941253	686065	0.27	51	0.26	"removed"	TRUE	0.06	"primary"	941253	255188	686065	0.271115204944898
"SC89_NKI_12P_R49C67yesS_A_W_B2_S3596"	1669006	1220317	0.27	84	0.958	"kept"	FALSE	0.32	"primary"	1669006	448689	1220317	0.268836061703793
"SC89_NKI_12P_R49C69yesS_A_W_B2_S3598"	1185834	890021	0.25	63	0.945	"kept"	FALSE	0.17	"primary"	1185834	295813	890021	0.249455657368569
"SC89_NKI_12P_R49C7yesS_A_W_B1_S3536"	275269	216836	0.21	14	0.444	"removed"	FALSE	0.11	"primary"	275269	58433	216836	0.212275991847974
"SC89_NKI_12P_R49C9yesS_A_W_B2_S3538"	1095983	834629	0.24	54	0.942	"kept"	FALSE	0.32	"primary"	1095983	261354	834629	0.238465377656405
"SC89_NKI_12P_R4C17yesS_A_W_A2_S306"	1680720	1289124	0.23	87	0.989	"kept"	FALSE	0.35	"primary"	1680720	391596	1289124	0.232993002998715
"SC89_NKI_12P_R4C2yesS_A_W_A1_S291"	2020521	1505557	0.25	101	0.977	"kept"	FALSE	0.36	"primary"	2020521	514964	1505557	0.254866937784858
"SC89_NKI_12P_R4C39yesS_A_W_A1_S328"	2071922	1510412	0.27	105	0.989	"kept"	FALSE	0.35	"primary"	2071922	561510	1510412	0.271009236834205
"SC89_NKI_12P_R4C40yesS_A_W_A1_S329"	1579533	1164555	0.26	81	0.958	"kept"	FALSE	0.28	"primary"	1579533	414978	1164555	0.262721956426361
"SC89_NKI_12P_R4C41yesS_A_W_A1_S330"	1474006	1071392	0.27	72	0.974	"kept"	FALSE	0.38	"primary"	1474006	402614	1071392	0.273142714480131
"SC89_NKI_12P_R4C46yesS_A_W_A2_S335"	701456	507968	0.28	33	0.95	"kept"	FALSE	0.33	"primary"	701456	193488	507968	0.275837686184165
"SC89_NKI_12P_R4C47yesS_A_W_A2_S336"	1504902	1135351	0.25	77	0.67	"removed"	FALSE	0.5	"primary"	1504902	369551	1135351	0.245564827477138
"SC89_NKI_12P_R4C49yesS_A_W_A2_S338"	1116912	840720	0.25	57	0.978	"kept"	FALSE	0.26	"primary"	1116912	276192	840720	0.247281791224376
"SC89_NKI_12P_R4C60yesS_A_W_A1_S349"	1963231	1461792	0.26	100	0.994	"kept"	FALSE	0.35	"primary"	1963231	501439	1461792	0.255415180383765
"SC89_NKI_12P_R4C63yesS_A_W_A2_S352"	1222607	900094	0.26	61	0.983	"kept"	FALSE	0.35	"primary"	1222607	322513	900094	0.263791226452981
"SC89_NKI_12P_R4C67yesS_A_W_A2_S356"	1380579	962523	0.3	65	0.988	"kept"	FALSE	0.37	"primary"	1380579	418056	962523	0.302812081018182
"SC89_NKI_12P_R4C6yesS_A_W_A1_S295"	2718553	1975640	0.27	134	0.985	"kept"	FALSE	0.36	"primary"	2718553	742913	1975640	0.27327515777695
"SC89_NKI_12P_R4C71yesS_A_W_A2_S360"	1396592	1026756	0.26	68	0.985	"kept"	FALSE	0.37	"primary"	1396592	369836	1026756	0.264813202424187
"SC89_NKI_12P_R50C10yesS_A_W_B2_S3611"	1709959	1295563	0.24	87	0.986	"kept"	FALSE	0.35	"primary"	1709959	414396	1295563	0.242342652660093
"SC89_NKI_12P_R50C11yesS_A_W_B2_S3612"	985072	740862	0.25	48	0.988	"kept"	FALSE	0.31	"primary"	985072	244210	740862	0.247910812610652
"SC89_NKI_12P_R50C16yesS_A_W_B2_S3617"	1900822	1446939	0.24	99	0.994	"kept"	FALSE	0.34	"primary"	1900822	453883	1446939	0.238782484630334
"SC89_NKI_12P_R50C22yesS_A_W_B1_S3623"	1282018	986189	0.23	72	0.888	"kept"	TRUE	0.02	"primary"	1282018	295829	986189	0.230752610337764
"SC89_NKI_12P_R50C29yesS_A_W_B2_S3630"	1859335	1422821	0.23	97	0.988	"kept"	FALSE	0.35	"primary"	1859335	436514	1422821	0.234768882423017
"SC89_NKI_12P_R50C31yesS_A_W_B2_S3632"	1522967	1173668	0.23	81	0.957	"kept"	FALSE	0.3	"primary"	1522967	349299	1173668	0.229354280164967
"SC89_NKI_12P_R50C33yesS_A_W_B2_S3634"	1979541	1548709	0.22	107	0.964	"kept"	FALSE	0.38	"primary"	1979541	430832	1548709	0.217642372651034
"SC89_NKI_12P_R50C35yesS_A_W_B2_S3636"	981170	785919	0.2	55	0.837	"kept"	FALSE	0.22	"primary"	981170	195251	785919	0.198998134879786
"SC89_NKI_12P_R50C38yesS_A_W_B1_S3639"	2040589	1585590	0.22	109	0.992	"kept"	FALSE	0.34	"primary"	2040589	454999	1585590	0.222974347112525
"SC89_NKI_12P_R50C40yesS_A_W_B1_S3641"	1574083	1192575	0.24	85	0.975	"kept"	FALSE	0.17	"primary"	1574083	381508	1192575	0.242368413863818
"SC89_NKI_12P_R50C47yesS_A_W_B2_S3648"	1223039	935839	0.23	63	0.986	"kept"	FALSE	0.35	"primary"	1223039	287200	935839	0.234824891111404
"SC89_NKI_12P_R50C56yesS_A_W_B1_S3657"	1355985	1014663	0.25	69	0.985	"kept"	FALSE	0.34	"primary"	1355985	341322	1014663	0.251715173840419
"SC89_NKI_12P_R50C60yesS_A_W_B1_S3661"	844748	617708	0.27	44	0.551	"removed"	TRUE	0.02	"primary"	844748	227040	617708	0.26876654339519
"SC89_NKI_12P_R50C63yesS_A_W_B2_S3664"	1392694	1052114	0.24	71	0.989	"kept"	FALSE	0.36	"primary"	1392694	340580	1052114	0.244547617782514
"SC89_NKI_12P_R50C66yesS_A_W_B2_S3667"	1341800	1015277	0.24	73	0.497	"removed"	TRUE	0.01	"primary"	1341800	326523	1015277	0.243346996571769
"SC89_NKI_12P_R50C69yesS_A_W_B2_S3670"	1109117	845130	0.24	56	0.98	"kept"	FALSE	0.37	"primary"	1109117	263987	845130	0.238015466357472
"SC89_NKI_12P_R50C70yesS_A_W_B2_S3671"	1249010	957720	0.23	64	0.972	"kept"	FALSE	0.37	"primary"	1249010	291290	957720	0.233216707632445
"SC89_NKI_12P_R50C8yesS_A_W_B1_S3609"	1404606	1082196	0.23	78	0.893	"kept"	TRUE	0.01	"primary"	1404606	322410	1082196	0.22953767818164
"SC89_NKI_12P_R51C14yesS_A_W_B2_S3687"	1218426	913507	0.25	63	0.955	"kept"	FALSE	0.2	"primary"	1218426	304919	913507	0.250256478440217
"SC89_NKI_12P_R51C17yesS_A_W_B2_S3690"	1146147	854930	0.25	56	0.991	"kept"	FALSE	0.37	"primary"	1146147	291217	854930	0.254083463988476
"SC89_NKI_12P_R51C22yesS_A_W_B1_S3695"	1717481	1320702	0.23	91	0.961	"kept"	FALSE	0.34	"primary"	1717481	396779	1320702	0.231023807541393
"SC89_NKI_12P_R51C24yesS_A_W_B1_S3697"	1008996	725221	0.28	52	0.439	"removed"	TRUE	0.04	"primary"	1008996	283775	725221	0.281244920693442
"SC89_NKI_12P_R51C30yesS_A_W_B2_S3703"	1679917	1283185	0.24	93	0.503	"removed"	TRUE	0.04	"primary"	1679917	396732	1283185	0.236161667510954
"SC89_NKI_12P_R51C32yesS_A_W_B2_S3705"	564506	432353	0.23	27	0.947	"kept"	FALSE	0.4	"primary"	564506	132153	432353	0.234103800491049
"SC89_NKI_12P_R51C34yesS_A_W_B2_S3707"	1837592	1395536	0.24	97	0.894	"kept"	FALSE	0.28	"primary"	1837592	442056	1395536	0.240562649380276
"SC89_NKI_12P_R51C44yesS_A_W_B1_S3717"	752143	574965	0.24	40	0.221	"removed"	FALSE	0.13	"primary"	752143	177178	574965	0.235564247756078
"SC89_NKI_12P_R51C4yesS_A_W_B1_S3677"	1858350	1375485	0.26	96	0.987	"kept"	FALSE	0.31	"primary"	1858350	482865	1375485	0.259835337799661
"SC89_NKI_12P_R51C64yesS_A_W_B2_S3737"	1039123	796485	0.23	55	0.964	"kept"	FALSE	0.3	"primary"	1039123	242638	796485	0.233502674851774
"SC89_NKI_12P_R51C65yesS_A_W_B2_S3738"	1033909	722630	0.3	48	0.976	"kept"	FALSE	0.35	"primary"	1033909	311279	722630	0.301070016800318
"SC89_NKI_12P_R51C67yesS_A_W_B2_S3740"	1993433	1439714	0.28	99	0.993	"kept"	FALSE	0.35	"primary"	1993433	553719	1439714	0.27777156292687
"SC89_NKI_12P_R51C70yesS_A_W_B2_S3743"	1344956	1004401	0.25	74	0.709	"removed"	TRUE	0.02	"primary"	1344956	340555	1004401	0.253209026912405
"SC89_NKI_12P_R51C71yesS_A_W_B2_S3744"	1152191	859219	0.25	58	0.981	"kept"	FALSE	0.35	"primary"	1152191	292972	859219	0.254273813977023
"SC89_NKI_12P_R52C20yesS_A_W_B1_S3765"	705622	582089	0.18	38	0.987	"kept"	FALSE	0.35	"primary"	705622	123533	582089	0.1750696548577
"SC89_NKI_12P_R52C21yesS_A_W_B1_S3766"	997726	809165	0.19	54	0.944	"kept"	FALSE	0.37	"primary"	997726	188561	809165	0.188990764999609
"SC89_NKI_12P_R52C22yesS_A_W_B1_S3767"	935237	798962	0.15	55	0.99	"kept"	FALSE	0.35	"primary"	935237	136275	798962	0.145711728684815
"SC89_NKI_12P_R52C30yesS_A_W_B2_S3775"	1168048	944964	0.19	68	0.859	"kept"	TRUE	0.01	"primary"	1168048	223084	944964	0.190988726490692
"SC89_NKI_12P_R52C34yesS_A_W_B2_S3779"	1024932	863741	0.16	59	0.955	"kept"	FALSE	0.31	"primary"	1024932	161191	863741	0.157269945713472
"SC89_NKI_12P_R52C35yesS_A_W_B2_S3780"	401223	360046	0.1	24	0.976	"kept"	FALSE	0.34	"primary"	401223	41177	360046	0.102628712710886
"SC89_NKI_12P_R52C38yesS_A_W_B1_S3783"	1039378	871557	0.16	59	0.982	"kept"	FALSE	0.39	"primary"	1039378	167821	871557	0.161462913396281
"SC89_NKI_12P_R52C43yesS_A_W_B1_S3788"	881955	740351	0.16	50	0.976	"kept"	FALSE	0.39	"primary"	881955	141604	740351	0.16055694451531
"SC89_NKI_12P_R52C44yesS_A_W_B1_S3789"	783553	660623	0.16	45	0.982	"kept"	FALSE	0.37	"primary"	783553	122930	660623	0.156887919515336
"SC89_NKI_12P_R52C45yesS_A_W_B2_S3790"	915037	743465	0.19	55	0.735	"removed"	TRUE	0.01	"primary"	915037	171572	743465	0.187502800433207
"SC89_NKI_12P_R52C46yesS_A_W_B2_S3791"	1393673	1130935	0.19	78	0.987	"kept"	FALSE	0.35	"primary"	1393673	262738	1130935	0.188521984712339
"SC89_NKI_12P_R52C47yesS_A_W_B2_S3792"	1249979	1017787	0.19	70	0.918	"kept"	FALSE	0.35	"primary"	1249979	232192	1017787	0.185756720712908
"SC89_NKI_12P_R52C50yesS_A_W_B2_S3795"	618320	525770	0.15	35	0.967	"kept"	FALSE	0.37	"primary"	618320	92550	525770	0.149679777461509
"SC89_NKI_12P_R52C55yesS_A_W_B1_S3800"	386468	341277	0.12	25	0.604	"removed"	FALSE	0.11	"primary"	386468	45191	341277	0.116933355413644
"SC89_NKI_12P_R52C71yesS_A_W_B2_S3816"	234216	189073	0.19	12	0.334	"removed"	FALSE	0.21	"primary"	234216	45143	189073	0.192740888752263
"SC89_NKI_12P_R53C10yesS_A_W_B2_S3827"	986792	828983	0.16	57	0.989	"kept"	FALSE	0.32	"primary"	986792	157809	828983	0.159921239734412
"SC89_NKI_12P_R53C11yesS_A_W_B2_S3828"	1329812	1093862	0.18	76	0.993	"kept"	FALSE	0.31	"primary"	1329812	235950	1093862	0.177431095523277
"SC89_NKI_12P_R53C13yesS_A_W_B2_S3830"	996365	792265	0.2	54	0.784	"removed"	FALSE	0.38	"primary"	996365	204100	792265	0.204844610157924
"SC89_NKI_12P_R53C19yesS_A_W_B1_S3836"	1103388	907778	0.18	62	0.959	"kept"	FALSE	0.35	"primary"	1103388	195610	907778	0.177281246488089
"SC89_NKI_12P_R53C29yesS_A_W_B2_S3846"	314044	284648	0.09	20	0.917	"kept"	FALSE	0.31	"primary"	314044	29396	284648	0.0936047178102432
"SC89_NKI_12P_R53C30yesS_A_W_B2_S3847"	702642	614522	0.13	42	0.971	"kept"	FALSE	0.35	"primary"	702642	88120	614522	0.125412372161072
"SC89_NKI_12P_R53C35yesS_A_W_B2_S3852"	316428	290600	0.08	20	0.971	"kept"	FALSE	0.37	"primary"	316428	25828	290600	0.0816236236995462
"SC89_NKI_12P_R53C40yesS_A_W_B1_S3857"	472022	427540	0.09	29	0.976	"kept"	FALSE	0.4	"primary"	472022	44482	427540	0.0942371330149866
"SC89_NKI_12P_R53C44yesS_A_W_B1_S3861"	812861	655230	0.19	49	0.727	"removed"	TRUE	0.01	"primary"	812861	157631	655230	0.193921223923893
"SC89_NKI_12P_R53C45yesS_A_W_B2_S3862"	399998	358172	0.1	24	0.946	"kept"	FALSE	0.36	"primary"	399998	41826	358172	0.104565522827614
"SC89_NKI_12P_R53C51yesS_A_W_B2_S3868"	261949	234829	0.1	16	0.966	"kept"	FALSE	0.35	"primary"	261949	27120	234829	0.103531603480067
"SC89_NKI_12P_R53C53yesS_A_W_B2_S3870"	397057	359467	0.09	26	1	"kept"	TRUE	0.01	"primary"	397057	37590	359467	0.0946715458989515
"SC89_NKI_12P_R53C55yesS_A_W_B1_S3872"	788067	633471	0.2	47	0.518	"removed"	TRUE	0.05	"primary"	788067	154596	633471	0.196171137733213
"SC89_NKI_12P_R53C56yesS_A_W_B1_S3873"	292635	262906	0.1	18	0.948	"kept"	FALSE	0.38	"primary"	292635	29729	262906	0.101590718813539
"SC89_NKI_12P_R53C58yesS_A_W_B1_S3875"	427678	378977	0.11	26	0.976	"kept"	FALSE	0.37	"primary"	427678	48701	378977	0.113873054026628
"SC89_NKI_12P_R53C69yesS_A_W_B2_S3886"	1287040	983165	0.24	68	0.986	"kept"	FALSE	0.26	"primary"	1287040	303875	983165	0.236103772998508
"SC89_NKI_12P_R54C12yesS_A_W_C2_S3901"	803128	645467	0.2	44	0.975	"kept"	FALSE	0.38	"primary"	803128	157661	645467	0.196308683049277
"SC89_NKI_12P_R54C15yesS_A_W_C2_S3904"	1636102	1225197	0.25	87	0.845	"kept"	TRUE	0.07	"primary"	1636102	410905	1225197	0.251148767008414
"SC89_NKI_12P_R54C17yesS_A_W_C2_S3906"	1489746	1146360	0.23	79	0.995	"kept"	FALSE	0.36	"primary"	1489746	343386	1146360	0.230499695921318
"SC89_NKI_12P_R54C18yesS_A_W_C1_S3907"	1143345	922111	0.19	63	0.986	"kept"	FALSE	0.34	"primary"	1143345	221234	922111	0.193497150903708
"SC89_NKI_12P_R54C1yesS_A_W_C1_S3890"	1693564	1298112	0.23	89	0.974	"kept"	FALSE	0.34	"primary"	1693564	395452	1298112	0.23350283780241
"SC89_NKI_12P_R54C40yesS_A_W_C1_S3929"	1977933	1483938	0.25	102	0.994	"kept"	FALSE	0.32	"primary"	1977933	493995	1483938	0.249753151395927
"SC89_NKI_12P_R54C41yesS_A_W_C1_S3930"	1769123	1309873	0.26	91	0.968	"kept"	FALSE	0.3	"primary"	1769123	459250	1309873	0.259591899489182
"SC89_NKI_12P_R54C46yesS_A_W_C2_S3935"	918241	662205	0.28	49	0.538	"removed"	FALSE	0.39	"primary"	918241	256036	662205	0.278833116796135
"SC89_NKI_12P_R54C4yesS_A_W_C1_S3893"	1352709	977286	0.28	66	0.944	"kept"	FALSE	0.38	"primary"	1352709	375423	977286	0.277534192498165
"SC89_NKI_12P_R54C53yesS_A_W_C2_S3942"	1513655	1079331	0.29	72	0.988	"kept"	FALSE	0.34	"primary"	1513655	434324	1079331	0.28693724791977
"SC89_NKI_12P_R54C58yesS_A_W_C1_S3947"	1072694	801023	0.25	55	0.568	"removed"	FALSE	0.55	"primary"	1072694	271671	801023	0.253260482486152
"SC89_NKI_12P_R54C5yesS_A_W_C1_S3894"	822840	688532	0.16	49	0.874	"kept"	FALSE	0.16	"primary"	822840	134308	688532	0.163224928297117
"SC89_NKI_12P_R54C60yesS_A_W_C1_S3949"	1699184	1245171	0.27	86	0.993	"kept"	FALSE	0.35	"primary"	1699184	454013	1245171	0.267194724055782
"SC89_NKI_12P_R54C62yesS_A_W_C1_S3951"	1026832	773517	0.25	57	0.763	"removed"	TRUE	0.02	"primary"	1026832	253315	773517	0.246695661997289
"SC89_NKI_12P_R54C66yesS_A_W_C2_S3955"	1811908	1367237	0.25	94	0.934	"kept"	FALSE	0.37	"primary"	1811908	444671	1367237	0.245415882042576
"SC89_NKI_12P_R54C7yesS_A_W_C1_S3896"	1649136	1219653	0.26	82	0.983	"kept"	FALSE	0.37	"primary"	1649136	429483	1219653	0.260429097418284
"SC89_NKI_12P_R55C0yesS_A_W_C1_S3961"	1316487	978577	0.26	67	0.974	"kept"	FALSE	0.37	"primary"	1316487	337910	978577	0.256675531167418
"SC89_NKI_12P_R55C11yesS_A_W_C2_S3972"	1169256	870124	0.26	59	0.86	"kept"	FALSE	0.41	"primary"	1169256	299132	870124	0.255831058382424
"SC89_NKI_12P_R55C14yesS_A_W_C2_S3975"	1609351	1212559	0.25	86	0.957	"kept"	FALSE	0.27	"primary"	1609351	396792	1212559	0.246554045699167
"SC89_NKI_12P_R55C18yesS_A_W_C1_S3979"	306105	267234	0.13	18	0.875	"kept"	FALSE	0.33	"primary"	306105	38871	267234	0.126985838192777
"SC89_NKI_12P_R55C23yesS_A_W_C1_S3984"	2010960	1491470	0.26	101	0.993	"kept"	FALSE	0.35	"primary"	2010960	519490	1491470	0.258329355133866
"SC89_NKI_12P_R55C2yesS_A_W_C1_S3963"	1870636	1415810	0.24	105	0.576	"removed"	TRUE	0.02	"primary"	1870636	454826	1415810	0.24313976636823
"SC89_NKI_12P_R55C37yesS_A_W_C1_S3998"	570090	427963	0.25	31	0.66	"removed"	TRUE	0.01	"primary"	570090	142127	427963	0.249306249890368
"SC89_NKI_12P_R55C40yesS_A_W_C1_S4001"	1754274	1370097	0.22	96	0.995	"kept"	FALSE	0.35	"primary"	1754274	384177	1370097	0.218994866252364
"SC89_NKI_12P_R55C42yesS_A_W_C1_S4003"	1186821	938152	0.21	65	0.99	"kept"	FALSE	0.32	"primary"	1186821	248669	938152	0.20952527803266
"SC89_NKI_12P_R55C52yesS_A_W_C2_S4013"	1393660	1032197	0.26	69	0.977	"kept"	FALSE	0.35	"primary"	1393660	361463	1032197	0.259362398289396
"SC89_NKI_12P_R55C53yesS_A_W_C2_S4014"	1497593	1136846	0.24	79	0.961	"kept"	FALSE	0.32	"primary"	1497593	360747	1136846	0.240884539390876
"SC89_NKI_12P_R55C57yesS_A_W_C1_S4018"	749343	556949	0.26	38	0.861	"kept"	FALSE	0.4	"primary"	749343	192394	556949	0.256750246549311
"SC89_NKI_12P_R55C8yesS_A_W_C1_S3969"	1128196	854067	0.24	62	0.904	"kept"	TRUE	0.01	"primary"	1128196	274129	854067	0.242979943201359
"SC89_NKI_12P_R55C9yesS_A_W_C2_S3970"	1397360	1042072	0.25	72	0.912	"kept"	FALSE	0.3	"primary"	1397360	355288	1042072	0.254256598156524
"SC89_NKI_12P_R56C18yesS_A_W_C1_S4051"	1982607	1383536	0.3	93	0.969	"kept"	FALSE	0.31	"primary"	1982607	599071	1383536	0.302163262815071
"SC89_NKI_12P_R56C30yesS_A_W_C2_S4063"	2261048	1681585	0.26	119	0.931	"kept"	FALSE	0.21	"primary"	2261048	579463	1681585	0.256280715845042
"SC89_NKI_12P_R56C38yesS_A_W_C1_S4071"	2132881	1550188	0.27	105	0.942	"kept"	FALSE	0.35	"primary"	2132881	582693	1550188	0.273195269684525
"SC89_NKI_12P_R56C41yesS_A_W_C1_S4074"	1698689	1212046	0.29	82	0.992	"kept"	FALSE	0.35	"primary"	1698689	486643	1212046	0.286481516039722
"SC89_NKI_12P_R56C50yesS_A_W_C2_S4083"	1381602	994861	0.28	66	0.979	"kept"	FALSE	0.37	"primary"	1381602	386741	994861	0.279922148346629
"SC89_NKI_12P_R56C52yesS_A_W_C2_S4085"	1041623	745308	0.28	49	0.968	"kept"	FALSE	0.3	"primary"	1041623	296315	745308	0.284474325163711
"SC89_NKI_12P_R56C58yesS_A_W_C1_S4091"	307255	270340	0.12	20	0.677	"removed"	TRUE	0.02	"primary"	307255	36915	270340	0.120144505378269
"SC89_NKI_12P_R56C65yesS_A_W_C2_S4098"	1096263	741394	0.32	49	0.971	"kept"	FALSE	0.36	"primary"	1096263	354869	741394	0.323707905858357
"SC89_NKI_12P_R56C68yesS_A_W_C2_S4101"	1187719	851366	0.28	58	0.988	"kept"	FALSE	0.34	"primary"	1187719	336353	851366	0.283192404937532
"SC89_NKI_12P_R56C70yesS_A_W_C2_S4103"	967461	698578	0.28	48	0.908	"kept"	FALSE	0.39	"primary"	967461	268883	698578	0.277926448714729
"SC89_NKI_12P_R56C9yesS_A_W_C2_S4042"	1414660	1056543	0.25	72	0.988	"kept"	FALSE	0.35	"primary"	1414660	358117	1056543	0.253147045933298
"SC89_NKI_12P_R57C11yesS_A_W_C2_S4116"	1599443	1191602	0.25	82	0.993	"kept"	FALSE	0.31	"primary"	1599443	407841	1191602	0.254989393182502
"SC89_NKI_12P_R57C15yesS_A_W_C2_S4120"	1297476	934036	0.28	68	0.425	"removed"	TRUE	0.04	"primary"	1297476	363440	934036	0.280113081089747
"SC89_NKI_12P_R57C16yesS_A_W_C2_S4121"	1557164	1144415	0.27	78	0.973	"kept"	FALSE	0.39	"primary"	1557164	412749	1144415	0.2650645660958
"SC89_NKI_12P_R57C18yesS_A_W_C1_S4123"	647737	517632	0.2	38	0.56	"removed"	TRUE	0.02	"primary"	647737	130105	517632	0.2008608432126
"SC89_NKI_12P_R57C19yesS_A_W_C1_S4124"	841961	612786	0.27	41	0.971	"kept"	FALSE	0.4	"primary"	841961	229175	612786	0.272191942382129
"SC89_NKI_12P_R57C25yesS_A_W_C1_S4130"	1900867	1430429	0.25	100	0.967	"kept"	FALSE	0.28	"primary"	1900867	470438	1430429	0.247486015591833
"SC89_NKI_12P_R57C26yesS_A_W_C1_S4131"	2007613	1530674	0.24	105	0.993	"kept"	FALSE	0.35	"primary"	2007613	476939	1530674	0.237565208035612
"SC89_NKI_12P_R57C37yesS_A_W_C1_S4142"	1707294	1260090	0.26	83	0.983	"kept"	FALSE	0.37	"primary"	1707294	447204	1260090	0.261937311324236
"SC89_NKI_12P_R57C49yesS_A_W_C2_S4154"	1398151	1075272	0.23	74	0.976	"kept"	FALSE	0.26	"primary"	1398151	322879	1075272	0.230932853461464
"SC89_NKI_12P_R57C53yesS_A_W_C2_S4158"	2576380	1908178	0.26	131	0.931	"kept"	FALSE	0.32	"primary"	2576380	668202	1908178	0.259356927161366
"SC89_NKI_12P_R57C57yesS_A_W_C1_S4162"	1933209	1430105	0.26	96	0.968	"kept"	FALSE	0.36	"primary"	1933209	503104	1430105	0.260242943209968
"SC89_NKI_12P_R57C60yesS_A_W_C1_S4165"	1292607	936996	0.28	62	0.979	"kept"	FALSE	0.3	"primary"	1292607	355611	936996	0.275111460792027
"SC89_NKI_12P_R57C61yesS_A_W_C1_S4166"	1522985	1074234	0.29	71	0.899	"kept"	FALSE	0.36	"primary"	1522985	448751	1074234	0.294652278256188
"SC89_NKI_12P_R57C68yesS_A_W_C2_S4173"	1013420	728644	0.28	49	0.974	"kept"	FALSE	0.31	"primary"	1013420	284776	728644	0.281004914053403
"SC89_NKI_12P_R57C6yesS_A_W_C1_S4111"	2228784	1638952	0.26	112	0.935	"kept"	FALSE	0.36	"primary"	2228784	589832	1638952	0.264642962261036
"SC89_NKI_12P_R57C7yesS_A_W_C1_S4112"	1435935	1040284	0.28	76	0.802	"kept"	TRUE	0.02	"primary"	1435935	395651	1040284	0.275535452510037
"SC89_NKI_12P_R57C9yesS_A_W_C2_S4114"	1878311	1410067	0.25	96	0.993	"kept"	FALSE	0.35	"primary"	1878311	468244	1410067	0.249289920572259
"SC89_NKI_12P_R58C12yesS_A_W_C2_S4189"	1038790	784352	0.24	52	0.906	"kept"	FALSE	0.37	"primary"	1038790	254438	784352	0.24493689773679
"SC89_NKI_12P_R58C15yesS_A_W_C2_S4192"	1672868	1241765	0.26	85	0.987	"kept"	FALSE	0.36	"primary"	1672868	431103	1241765	0.257702938904923
"SC89_NKI_12P_R58C16yesS_A_W_C2_S4193"	1153477	838331	0.27	56	0.988	"kept"	FALSE	0.38	"primary"	1153477	315146	838331	0.273213943581016
"SC89_NKI_12P_R58C17yesS_A_W_C2_S4194"	1491060	1146048	0.23	81	0.954	"kept"	FALSE	0.31	"primary"	1491060	345012	1146048	0.231387066918836
"SC89_NKI_12P_R58C22yesS_A_W_C1_S4199"	1283408	966081	0.25	65	0.972	"kept"	FALSE	0.36	"primary"	1283408	317327	966081	0.247253406555047
"SC89_NKI_12P_R58C23yesS_A_W_C1_S4200"	846988	608073	0.28	42	0.953	"kept"	FALSE	0.3	"primary"	846988	238915	608073	0.282076015244608
"SC89_NKI_12P_R58C27yesS_A_W_C2_S4204"	1123008	865419	0.23	59	0.99	"kept"	FALSE	0.31	"primary"	1123008	257589	865419	0.229374145153018
"SC89_NKI_12P_R58C32yesS_A_W_C2_S4209"	1862468	1425645	0.23	98	0.975	"kept"	FALSE	0.36	"primary"	1862468	436823	1425645	0.234539868604454
"SC89_NKI_12P_R58C34yesS_A_W_C2_S4211"	1619040	1213840	0.25	83	0.968	"kept"	FALSE	0.39	"primary"	1619040	405200	1213840	0.250271765984781
"SC89_NKI_12P_R58C37yesS_A_W_C1_S4214"	1187369	875999	0.26	59	0.987	"kept"	FALSE	0.35	"primary"	1187369	311370	875999	0.262235244477496
"SC89_NKI_12P_R58C50yesS_A_W_C2_S4227"	1592605	1199363	0.25	81	0.989	"kept"	FALSE	0.39	"primary"	1592605	393242	1199363	0.246917471689465
