"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"TotalReads"	"DupsRemoved"	"ReadsKept"	"MedianBinCount"	"dups_percentage"
"SC242_2_R10C30yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S751_R1_001"	685583	577154	0.16	46	0.689	"removed"	FALSE	0.4	685583	108429	577154	46	0.158155905266029
"SC242_2_R10C33yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S754_R1_001"	748342	632886	0.15	46	0.949	"kept"	FALSE	0.31	748342	115456	632886	46	0.154282400292914
"SC242_2_R10C40yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S761_R1_001"	739573	627078	0.15	46	0.985	"kept"	FALSE	0.29	739573	112495	627078	46	0.152108040720794
"SC242_2_R10C42yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S763_R1_001"	652216	558887	0.14	41	0.994	"kept"	FALSE	0.29	652216	93329	558887	41	0.143095232254345
"SC242_2_R10C49yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S770_R1_001"	196088	174414	0.11	13	0.996	"kept"	FALSE	0.29	196088	21674	174414	13	0.110532006038105
"SC242_2_R10C51yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S772_R1_001"	783952	659786	0.16	50	0.399	"removed"	TRUE	0.02	783952	124166	659786	50	0.158384697022267
"SC242_2_R10C55yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S776_R1_001"	902269	771470	0.14	59	0.284	"removed"	FALSE	0.07	902269	130799	771470	59	0.144966744950785
"SC242_2_R10C5yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S726_R1_001"	722877	606666	0.16	44	0.998	"kept"	FALSE	0.29	722877	116211	606666	44	0.160761789350055
"SC242_2_R10C63yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S784_R1_001"	707855	606294	0.14	44	0.994	"kept"	FALSE	0.29	707855	101561	606294	44	0.143477124552345
"SC242_2_R10C66yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S787_R1_001"	756213	639986	0.15	47	0.994	"kept"	FALSE	0.29	756213	116227	639986	47	0.153696114719001
"SC242_2_R10C67yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S788_R1_001"	703773	586120	0.17	43	0.991	"kept"	FALSE	0.28	703773	117653	586120	43	0.167174642960159
"SC242_2_R10C69yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S790_R1_001"	784769	680070	0.13	49	0.991	"kept"	FALSE	0.3	784769	104699	680070	49	0.133413781635105
"SC242_2_R10C9yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S730_R1_001"	637685	544740	0.15	40	0.993	"kept"	FALSE	0.29	637685	92945	544740	40	0.145753781255636
"SC242_2_R11C13yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S806_R1_001"	786526	655857	0.17	48	0.996	"kept"	FALSE	0.29	786526	130669	655857	48	0.166134368094634
"SC242_2_R11C16yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S809_R1_001"	869836	721067	0.17	54	0.897	"kept"	FALSE	0.36	869836	148769	721067	54	0.171031090918288
"SC242_2_R11C18yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S811_R1_001"	506104	431005	0.15	31	0.882	"kept"	FALSE	0.28	506104	75099	431005	31	0.148386497636849
"SC242_2_R11C19yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S812_R1_001"	1061220	890616	0.16	65	0.998	"kept"	FALSE	0.29	1061220	170604	890616	65	0.160762141685984
"SC242_2_R11C20yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S813_R1_001"	916896	764793	0.17	56	0.99	"kept"	FALSE	0.29	916896	152103	764793	56	0.165889043032143
"SC242_2_R11C21yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S814_R1_001"	1212624	1023143	0.16	76	0.965	"kept"	FALSE	0.29	1212624	189481	1023143	76	0.156257009592421
"SC242_2_R11C23yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S816_R1_001"	904755	738820	0.18	54	0.88	"kept"	FALSE	0.36	904755	165935	738820	54	0.183403241761582
"SC242_2_R11C25yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S818_R1_001"	953046	788617	0.17	58	0.992	"kept"	FALSE	0.3	953046	164429	788617	58	0.172529972320329
"SC242_2_R11C28yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S821_R1_001"	848192	712047	0.16	52	0.991	"kept"	FALSE	0.29	848192	136145	712047	52	0.160512006715461
"SC242_2_R11C33yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S826_R1_001"	858130	716057	0.17	52	0.941	"kept"	FALSE	0.23	858130	142073	716057	52	0.165561162061692
"SC242_2_R11C36yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S829_R1_001"	1217307	1020264	0.16	75	0.972	"kept"	FALSE	0.29	1217307	197043	1020264	75	0.161867959356185
"SC242_2_R11C40yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S833_R1_001"	956614	790510	0.17	61	0.347	"removed"	FALSE	0.08	956614	166104	790510	61	0.173637433698441
"SC242_2_R11C41yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S834_R1_001"	957615	798805	0.17	58	0.991	"kept"	FALSE	0.29	957615	158810	798805	58	0.16583908982211
"SC242_2_R11C42yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S835_R1_001"	763212	646628	0.15	47	0.989	"kept"	FALSE	0.29	763212	116584	646628	47	0.152754411618266
"SC242_2_R11C50yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S843_R1_001"	898152	735437	0.18	53	0.995	"kept"	FALSE	0.28	898152	162715	735437	53	0.18116643953362
