"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"TotalReads"	"DupsRemoved"	"ReadsKept"	"MedianBinCount"	"dups_percentage"
"SC242_2_R24C67yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1796_R1_001"	963574	817120	0.15	59	0.974	"kept"	FALSE	0.31	963574	146454	817120	59	0.15199040239774
"SC242_2_R25C0yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1801_R1_001"	910130	784234	0.14	58	0.962	"kept"	FALSE	0.3	910130	125896	784234	58	0.138327491677013
"SC242_2_R25C15yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1816_R1_001"	740312	630935	0.15	48	0.341	"removed"	TRUE	0.03	740312	109377	630935	48	0.14774446449605
"SC242_2_R25C18yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1819_R1_001"	546352	484502	0.11	35	0.806	"kept"	FALSE	0.32	546352	61850	484502	35	0.113205406038598
"SC242_2_R25C1yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1802_R1_001"	711369	599475	0.16	46	0.391	"removed"	TRUE	0.03	711369	111894	599475	46	0.157293893886295
"SC242_2_R25C23yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1824_R1_001"	811529	671140	0.17	49	0.917	"kept"	FALSE	0.32	811529	140389	671140	49	0.172993201721688
"SC242_2_R25C25yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1826_R1_001"	953531	809342	0.15	60	0.986	"kept"	FALSE	0.27	953531	144189	809342	60	0.151215849301176
"SC242_2_R25C27yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1828_R1_001"	965875	813768	0.16	60	0.817	"kept"	FALSE	0.34	965875	152107	813768	60	0.157481040507312
"SC242_2_R25C28yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1829_R1_001"	743757	630946	0.15	46	0.992	"kept"	FALSE	0.29	743757	112811	630946	46	0.151677227911805
"SC242_2_R25C29yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1830_R1_001"	908318	777852	0.14	57	0.962	"kept"	FALSE	0.28	908318	130466	777852	57	0.143634718237445
"SC242_2_R25C2yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1803_R1_001"	776552	656988	0.15	48	0.941	"kept"	FALSE	0.35	776552	119564	656988	48	0.153967796103802
"SC242_2_R25C32yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1833_R1_001"	890793	773963	0.13	56	0.978	"kept"	FALSE	0.3	890793	116830	773963	56	0.131152804299091
"SC242_2_R25C39yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1840_R1_001"	1047392	878187	0.16	64	0.838	"kept"	FALSE	0.35	1047392	169205	878187	64	0.161548875683603
"SC242_2_R25C42yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1843_R1_001"	707707	617188	0.13	45	0.887	"kept"	FALSE	0.33	707707	90519	617188	45	0.127904627197414
"SC242_2_R25C45yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1846_R1_001"	804491	682591	0.15	50	0.964	"kept"	FALSE	0.3	804491	121900	682591	50	0.151524380011709
"SC242_2_R25C46yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1847_R1_001"	752494	647915	0.14	47	0.916	"kept"	FALSE	0.37	752494	104579	647915	47	0.138976523400851
"SC242_2_R25C51yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1852_R1_001"	809403	675742	0.17	50	0.945	"kept"	FALSE	0.3	809403	133661	675742	50	0.165135291072556
"SC242_2_R25C52yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1853_R1_001"	1048696	882753	0.16	64	0.979	"kept"	FALSE	0.3	1048696	165943	882753	64	0.158237468246279
"SC242_2_R25C56yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1857_R1_001"	813642	680365	0.16	49	0.989	"kept"	FALSE	0.31	813642	133277	680365	49	0.163802999353524
"SC242_2_R25C5yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1806_R1_001"	931511	796132	0.15	57	0.72	"removed"	FALSE	0.39	931511	135379	796132	57	0.145332690649923
"SC242_2_R25C62yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1863_R1_001"	808973	693981	0.14	46	0.749	"removed"	FALSE	0.64	808973	114992	693981	46	0.142145658754989
"SC242_2_R25C67yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1868_R1_001"	796049	657919	0.17	50	0.28	"removed"	TRUE	0.03	796049	138130	657919	50	0.173519469278901
"SC242_2_R25C7yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1808_R1_001"	657625	563660	0.14	41	0.994	"kept"	FALSE	0.3	657625	93965	563660	41	0.142885383007033
"SC242_2_R25C9yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1810_R1_001"	882301	774712	0.12	57	0.993	"kept"	FALSE	0.3	882301	107589	774712	57	0.121941378282468
"SC242_2_R26C0yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1873_R1_001"	754189	645285	0.14	46	0.911	"kept"	FALSE	0.28	754189	108904	645285	46	0.144398817802965
"SC242_2_R26C13yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1886_R1_001"	272227	230802	0.15	13	0.561	"removed"	FALSE	0.7	272227	41425	230802	13	0.152170798634963
"SC242_2_R26C1yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1874_R1_001"	621712	544117	0.12	42	0.328	"removed"	FALSE	0.06	621712	77595	544117	42	0.124808593046298
"SC242_2_R26C21yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1894_R1_001"	440393	376519	0.15	27	0.565	"removed"	FALSE	0.44	440393	63874	376519	27	0.145038635945621
"SC242_2_R26C22yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1895_R1_001"	504884	438751	0.13	31	0.666	"removed"	FALSE	0.46	504884	66133	438751	31	0.130986523637113
"SC242_2_R26C23yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1896_R1_001"	755937	644692	0.15	48	0.528	"removed"	FALSE	0.26	755937	111245	644692	48	0.147161734377336
"SC242_2_R26C24yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1897_R1_001"	539228	451284	0.16	31	0.755	"removed"	FALSE	0.48	539228	87944	451284	31	0.163092421016713
"SC242_2_R26C32yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1905_R1_001"	638274	549231	0.14	40	0.997	"kept"	FALSE	0.29	638274	89043	549231	40	0.139505917521315
"SC242_2_R26C34yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1907_R1_001"	489400	422474	0.14	30	0.42	"removed"	FALSE	0.34	489400	66926	422474	30	0.136751123825092
"SC242_2_R26C35yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1908_R1_001"	428438	369485	0.14	26	0.758	"removed"	FALSE	0.35	428438	58953	369485	26	0.137599839416672
"SC242_2_R26C36yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1909_R1_001"	439512	380270	0.13	26	0.806	"kept"	FALSE	0.48	439512	59242	380270	26	0.13479040390251
"SC242_2_R26C38yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1911_R1_001"	448705	377270	0.16	25	0.766	"removed"	FALSE	0.52	448705	71435	377270	25	0.159202594132002
"SC242_2_R26C39yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1912_R1_001"	828694	691966	0.16	51	0.997	"kept"	FALSE	0.29	828694	136728	691966	51	0.164992144265555
"SC242_2_R26C3yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1876_R1_001"	844088	727554	0.14	53	0.982	"kept"	FALSE	0.3	844088	116534	727554	53	0.138059064931619
"SC242_2_R26C41yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1914_R1_001"	424180	360202	0.15	22	0.651	"removed"	FALSE	0.7	424180	63978	360202	22	0.150827478900467
"SC242_2_R26C44yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1917_R1_001"	417609	356724	0.15	25	0.71	"removed"	FALSE	0.49	417609	60885	356724	25	0.145794271675179
"SC242_2_R26C45yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1918_R1_001"	525871	450844	0.14	35	0.356	"removed"	FALSE	0.32	525871	75027	450844	35	0.142671871999026
"SC242_2_R26C52yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1925_R1_001"	455661	411784	0.1	30	0.687	"removed"	FALSE	0.35	455661	43877	411784	30	0.096293077529128
"SC242_2_R26C55yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1928_R1_001"	677707	581672	0.14	42	0.571	"removed"	FALSE	0.25	677707	96035	581672	42	0.141705781407009
"SC242_2_R26C57yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1930_R1_001"	695243	619231	0.11	44	0.84	"kept"	FALSE	0.39	695243	76012	619231	44	0.109331557455451
"SC242_2_R26C58yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1931_R1_001"	565212	491431	0.13	36	0.65	"removed"	FALSE	0.41	565212	73781	491431	36	0.130536860505439
"SC242_2_R26C62yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1935_R1_001"	618524	522534	0.16	40	0.269	"removed"	FALSE	0.17	618524	95990	522534	40	0.155192037819066
"SC242_2_R26C63yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1936_R1_001"	378631	329320	0.13	23	0.711	"removed"	FALSE	0.5	378631	49311	329320	23	0.130234978118538
"SC242_2_R26C64yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1937_R1_001"	651089	577074	0.11	45	0.368	"removed"	FALSE	0.23	651089	74015	577074	45	0.113678775098335
"SC242_2_R26C65yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1938_R1_001"	418931	348418	0.17	24	0.683	"removed"	FALSE	0.34	418931	70513	348418	24	0.168316500808009
"SC242_2_R26C66yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1939_R1_001"	509445	428684	0.16	30	0.675	"removed"	FALSE	0.44	509445	80761	428684	30	0.158527417091148
"SC242_2_R26C67yesS_SC242_2_BCM_DCIS_28T_A_W_C2_S1940_R1_001"	456445	390963	0.14	28	0.668	"removed"	FALSE	0.37	456445	65482	390963	28	0.143460876995038
"SC242_2_R26C7yesS_SC242_2_BCM_DCIS_28T_A_W_C1_S1880_R1_001"	626117	538632	0.14	40	0.927	"kept"	FALSE	0.3	626117	87485	538632	40	0.139726281190257
"SC242_2_R27C10yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1955_R1_001"	845879	691143	0.18	49	0.96	"kept"	FALSE	0.31	845879	154736	691143	49	0.182929236923957
"SC242_2_R27C11yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1956_R1_001"	654129	546878	0.16	40	0.966	"kept"	FALSE	0.31	654129	107251	546878	40	0.163960014003354
"SC242_2_R27C13yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1958_R1_001"	739107	618404	0.16	45	0.997	"kept"	FALSE	0.28	739107	120703	618404	45	0.163309236686975
"SC242_2_R27C14yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1959_R1_001"	1049911	891335	0.15	64	0.92	"kept"	FALSE	0.36	1049911	158576	891335	64	0.151037564136389
"SC242_2_R27C15yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1960_R1_001"	893154	747461	0.16	55	0.892	"kept"	FALSE	0.18	893154	145693	747461	55	0.163121925222302
"SC242_2_R27C18yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S1963_R1_001"	620365	542049	0.13	41	0.87	"kept"	FALSE	0.34	620365	78316	542049	41	0.126241809257453
"SC242_2_R27C27yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1972_R1_001"	482633	403812	0.16	28	0.361	"removed"	FALSE	0.48	482633	78821	403812	28	0.163314568212286
"SC242_2_R27C28yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1973_R1_001"	373409	312182	0.16	20	0.755	"removed"	FALSE	0.57	373409	61227	312182	20	0.163967660126028
"SC242_2_R27C30yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1975_R1_001"	844079	704839	0.16	52	0.996	"kept"	FALSE	0.29	844079	139240	704839	52	0.164960862668068
"SC242_2_R27C32yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1977_R1_001"	1113167	958795	0.14	70	0.99	"kept"	FALSE	0.29	1113167	154372	958795	70	0.138678203719658
"SC242_2_R27C34yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1979_R1_001"	514991	430692	0.16	32	0.247	"removed"	FALSE	0.33	514991	84299	430692	32	0.163690239246899
"SC242_2_R27C44yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S1989_R1_001"	354816	310872	0.12	19	0.402	"removed"	FALSE	0.68	354816	43944	310872	19	0.123850108225108
"SC242_2_R27C53yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1998_R1_001"	691626	578825	0.16	43	0.854	"kept"	FALSE	0.33	691626	112801	578825	43	0.163095372354423
"SC242_2_R27C55yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2000_R1_001"	694582	577012	0.17	42	0.766	"removed"	FALSE	0.37	694582	117570	577012	42	0.169267271538854
"SC242_2_R27C59yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2004_R1_001"	816067	684260	0.16	51	0.99	"kept"	FALSE	0.28	816067	131807	684260	51	0.161514924632414
"SC242_2_R27C67yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2012_R1_001"	623756	513455	0.18	37	0.741	"removed"	FALSE	0.51	623756	110301	513455	37	0.176833569536806
"SC242_2_R27C6yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S1951_R1_001"	631101	521905	0.17	37	0.921	"kept"	FALSE	0.3	631101	109196	521905	37	0.173024603035013
"SC242_2_R27C71yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2016_R1_001"	718146	595452	0.17	45	0.244	"removed"	FALSE	0.14	718146	122694	595452	45	0.170848267622461
"SC242_2_R27C9yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S1954_R1_001"	759004	674065	0.11	49	0.996	"kept"	FALSE	0.29	759004	84939	674065	49	0.111908501140969
"SC242_2_R28C0yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2017_R1_001"	666935	561647	0.16	41	0.509	"removed"	FALSE	0.4	666935	105288	561647	41	0.157868457945677
"SC242_2_R28C12yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2029_R1_001"	576674	479957	0.17	35	0.776	"removed"	FALSE	0.45	576674	96717	479957	35	0.167715208245907
"SC242_2_R28C13yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2030_R1_001"	522570	438631	0.16	32	0.48	"removed"	FALSE	0.29	522570	83939	438631	32	0.160627284382953
"SC242_2_R28C15yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2032_R1_001"	808643	673956	0.17	49	0.759	"removed"	FALSE	0.36	808643	134687	673956	49	0.166559285123349
"SC242_2_R28C1yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2018_R1_001"	560247	470081	0.16	33	0.795	"removed"	FALSE	0.43	560247	90166	470081	33	0.160939728369808
"SC242_2_R28C22yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2039_R1_001"	684463	572312	0.16	42	0.833	"kept"	FALSE	0.33	684463	112151	572312	42	0.163852538413325
"SC242_2_R28C23yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2040_R1_001"	1073235	890774	0.17	65	0.84	"kept"	FALSE	0.34	1073235	182461	890774	65	0.170010295974321
"SC242_2_R28C27yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2044_R1_001"	744810	617370	0.17	45	0.988	"kept"	FALSE	0.29	744810	127440	617370	45	0.171104039956499
"SC242_2_R28C28yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2045_R1_001"	1000392	856151	0.14	63	0.999	"kept"	FALSE	0.29	1000392	144241	856151	63	0.144184479683964
"SC242_2_R28C29yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2046_R1_001"	1151383	974269	0.15	74	0.715	"removed"	FALSE	0.14	1151383	177114	974269	74	0.153827180008737
"SC242_2_R28C35yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2052_R1_001"	142070	119054	0.16	8	0.607	"removed"	FALSE	0.43	142070	23016	119054	8	0.162004645597241
"SC242_2_R28C43yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2060_R1_001"	694410	585499	0.16	41	0.652	"removed"	FALSE	0.45	694410	108911	585499	41	0.156839619245115
"SC242_2_R28C46yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2063_R1_001"	281972	234653	0.17	15	0.621	"removed"	FALSE	0.65	281972	47319	234653	15	0.167814534776503
"SC242_2_R28C49yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2066_R1_001"	132299	116167	0.12	8	0.718	"removed"	FALSE	0.52	132299	16132	116167	8	0.121935917882977
"SC242_2_R28C4yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2021_R1_001"	777948	649342	0.17	48	0.977	"kept"	FALSE	0.3	777948	128606	649342	48	0.165314391193242
"SC242_2_R28C50yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2067_R1_001"	743270	614244	0.17	48	0.276	"removed"	FALSE	0.27	743270	129026	614244	48	0.173592368856539
"SC242_2_R28C53yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2070_R1_001"	655106	545537	0.17	40	0.785	"removed"	FALSE	0.39	655106	109569	545537	40	0.16725384899543
"SC242_2_R28C55yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2072_R1_001"	666501	550619	0.17	40	0.621	"removed"	FALSE	0.41	666501	115882	550619	40	0.173866205752129
"SC242_2_R28C57yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2074_R1_001"	557215	464653	0.17	33	0.779	"removed"	FALSE	0.46	557215	92562	464653	33	0.166115413260591
"SC242_2_R28C58yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2075_R1_001"	554608	470725	0.15	34	0.628	"removed"	FALSE	0.36	554608	83883	470725	34	0.151247367510025
"SC242_2_R28C63yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2080_R1_001"	844268	712849	0.16	52	0.973	"kept"	FALSE	0.32	844268	131419	712849	52	0.155660287965433
"SC242_2_R28C68yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2085_R1_001"	628818	527417	0.16	38	0.5	"removed"	FALSE	0.42	628818	101401	527417	38	0.161256516193875
"SC242_2_R29C13yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2102_R1_001"	363320	307458	0.15	21	0.731	"removed"	FALSE	0.43	363320	55862	307458	21	0.153754266211604
"SC242_2_R29C14yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2103_R1_001"	643492	545886	0.15	39	0.632	"removed"	FALSE	0.36	643492	97606	545886	39	0.151681761389419
"SC242_2_R29C16yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2105_R1_001"	847711	725813	0.14	53	0.935	"kept"	FALSE	0.34	847711	121898	725813	53	0.143796647678277
"SC242_2_R29C18yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2107_R1_001"	220519	190714	0.14	13	0.58	"removed"	FALSE	0.37	220519	29805	190714	13	0.135158421723298
"SC242_2_R29C20yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2109_R1_001"	548719	459525	0.16	33	0.795	"removed"	FALSE	0.37	548719	89194	459525	33	0.162549501657497
"SC242_2_R29C24yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2113_R1_001"	603213	514159	0.15	37	0.561	"removed"	FALSE	0.5	603213	89054	514159	37	0.147632759904047
"SC242_2_R29C25yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2114_R1_001"	548382	464594	0.15	33	0.614	"removed"	FALSE	0.43	548382	83788	464594	33	0.152791302413281
"SC242_2_R29C26yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2115_R1_001"	546263	458685	0.16	33	0.662	"removed"	FALSE	0.46	546263	87578	458685	33	0.160322042679076
"SC242_2_R29C32yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2121_R1_001"	476036	407184	0.14	30	0.845	"kept"	FALSE	0.3	476036	68852	407184	30	0.144636119957314
"SC242_2_R29C33yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2122_R1_001"	607806	505154	0.17	37	0.718	"removed"	FALSE	0.47	607806	102652	505154	37	0.168889415372668
"SC242_2_R29C35yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2124_R1_001"	495151	419958	0.15	30	0.993	"kept"	FALSE	0.27	495151	75193	419958	30	0.151858725924011
"SC242_2_R29C37yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2126_R1_001"	761817	636151	0.16	46	0.616	"removed"	FALSE	0.35	761817	125666	636151	46	0.16495562582615
"SC242_2_R29C38yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2127_R1_001"	393204	323050	0.18	21	0.49	"removed"	FALSE	0.51	393204	70154	323050	21	0.178416292814926
"SC242_2_R29C40yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2129_R1_001"	451268	375157	0.17	26	0.782	"removed"	FALSE	0.41	451268	76111	375157	26	0.168660308286872
"SC242_2_R29C42yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2131_R1_001"	487713	411788	0.16	29	0.66	"removed"	FALSE	0.54	487713	75925	411788	29	0.155675571493891
"SC242_2_R29C47yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2136_R1_001"	499285	420047	0.16	29	0.677	"removed"	FALSE	0.46	499285	79238	420047	29	0.158702945211653
"SC242_2_R29C49yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2138_R1_001"	478282	402284	0.16	28	0.799	"removed"	FALSE	0.44	478282	75998	402284	28	0.158897888693281
"SC242_2_R29C52yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2141_R1_001"	567743	467968	0.18	31	0.696	"removed"	FALSE	0.4	567743	99775	467968	31	0.175739727306193
"SC242_2_R29C55yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2144_R1_001"	669788	553621	0.17	40	0.848	"kept"	FALSE	0.36	669788	116167	553621	40	0.173438461125013
"SC242_2_R29C61yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2150_R1_001"	505443	420884	0.17	25	0.552	"removed"	FALSE	0.66	505443	84559	420884	25	0.16729680695944
"SC242_2_R29C9yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2098_R1_001"	739082	627004	0.15	48	0.327	"removed"	TRUE	0.02	739082	112078	627004	48	0.151644878376148
"SC242_2_R2C11yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S156_R1_001"	491604	424343	0.14	31	0.992	"kept"	FALSE	0.28	491604	67261	424343	31	0.136819472583624
"SC242_2_R2C12yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S157_R1_001"	572797	486174	0.15	36	0.969	"kept"	FALSE	0.27	572797	86623	486174	36	0.151228096515869
"SC242_2_R2C14yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S159_R1_001"	603473	511543	0.15	37	0.996	"kept"	FALSE	0.29	603473	91930	511543	37	0.152334901478608
"SC242_2_R2C19yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S164_R1_001"	584477	491904	0.16	36	0.987	"kept"	FALSE	0.29	584477	92573	491904	36	0.15838604427548
"SC242_2_R2C1yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S146_R1_001"	341339	293697	0.14	21	0.876	"kept"	FALSE	0.35	341339	47642	293697	21	0.139573854730927
"SC242_2_R2C22yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S167_R1_001"	613065	529524	0.14	39	0.995	"kept"	FALSE	0.3	613065	83541	529524	39	0.136267769322992
"SC242_2_R2C23yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S168_R1_001"	655678	549109	0.16	40	0.996	"kept"	FALSE	0.32	655678	106569	549109	40	0.162532523586273
"SC242_2_R2C36yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S181_R1_001"	664995	563336	0.15	41	0.95	"kept"	FALSE	0.24	664995	101659	563336	41	0.152871826103956
"SC242_2_R2C3yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S148_R1_001"	628197	543463	0.13	40	0.999	"kept"	FALSE	0.29	628197	84734	543463	40	0.134884439117029
"SC242_2_R2C44yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S189_R1_001"	454712	386963	0.15	28	0.757	"removed"	FALSE	0.47	454712	67749	386963	28	0.148993208888263
"SC242_2_R2C46yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S191_R1_001"	617819	523425	0.15	38	0.982	"kept"	FALSE	0.31	617819	94394	523425	38	0.152785848282426
"SC242_2_R2C48yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S193_R1_001"	583508	502940	0.14	37	0.982	"kept"	FALSE	0.29	583508	80568	502940	37	0.138075227760373
"SC242_2_R2C4yesS_SC242_2_BCM_DCIS_28T_D_W_A1_S149_R1_001"	571824	486448	0.15	38	0.141	"removed"	FALSE	0.09	571824	85376	486448	38	0.149304681160637
"SC242_2_R2C69yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S214_R1_001"	769662	654500	0.15	44	0.744	"removed"	FALSE	0.42	769662	115162	654500	44	0.149626719261182
"SC242_2_R2C71yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S216_R1_001"	608919	514947	0.15	38	0.982	"kept"	FALSE	0.28	608919	93972	514947	38	0.154325944830101
"SC242_2_R2C9yesS_SC242_2_BCM_DCIS_28T_D_W_A2_S154_R1_001"	543729	464661	0.15	34	0.989	"kept"	FALSE	0.29	543729	79068	464661	34	0.145418029937708
"SC242_2_R30C13yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2174_R1_001"	590801	496357	0.16	35	0.792	"removed"	FALSE	0.54	590801	94444	496357	35	0.1598575493271
"SC242_2_R30C18yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2179_R1_001"	418360	353233	0.16	26	0.781	"removed"	FALSE	0.31	418360	65127	353233	26	0.155672148388947
"SC242_2_R30C1yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2162_R1_001"	853018	735195	0.14	55	0.928	"kept"	FALSE	0.29	853018	117823	735195	55	0.138124869580712
"SC242_2_R30C20yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2181_R1_001"	450139	375191	0.17	26	0.58	"removed"	FALSE	0.42	450139	74948	375191	26	0.166499681209582
"SC242_2_R30C23yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2184_R1_001"	434124	356080	0.18	23	0.665	"removed"	FALSE	0.54	434124	78044	356080	23	0.179773520929504
"SC242_2_R30C27yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2188_R1_001"	345298	286990	0.17	20	0.485	"removed"	FALSE	0.48	345298	58308	286990	20	0.168862837317332
"SC242_2_R30C30yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2191_R1_001"	506594	418768	0.17	29	0.555	"removed"	FALSE	0.58	506594	87826	418768	29	0.173365653758236
"SC242_2_R30C31yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2192_R1_001"	441070	377904	0.14	28	0.996	"kept"	FALSE	0.3	441070	63166	377904	28	0.143210828213209
"SC242_2_R30C35yesS_SC242_2_BCM_DCIS_28T_A_W_D2_S2196_R1_001"	619551	535665	0.14	40	0.63	"removed"	FALSE	0.31	619551	83886	535665	40	0.135398054397459
"SC242_2_R30C3yesS_SC242_2_BCM_DCIS_28T_A_W_D1_S2164_R1_001"	657053	562033	0.14	40	0.82	"kept"	FALSE	0.38	657053	95020	562033	40	0.144615426761616
