"cellname" "hg19" "mm10" "p_hg19" "p_mm10" "tt" "class"
"367" "Arc_well_A20_GM12878_fixed_r24c54_yes_C1_Good_S1783.bed" 766 440057 0.00173765887896049 0.99826234112104 440823 "Mouse"
"368" "Arc_well_A20_GM12878_fixed_r24c58_yes_C1_Good_S1787.bed" 745 433617 0.00171515924505366 0.998284840754946 434362 "Mouse"
"369" "Arc_well_A20_GM12878_fixed_r24c59_yes_C1_Good_S1788.bed" 272930 550 0.997988884013456 0.00201111598654381 273480 "Human"
"370" "Arc_well_A20_GM12878_fixed_r24c60_yes_C1_Good_S1789.bed" 961 578161 0.00165940855294739 0.998340591447053 579122 "Mouse"
"371" "Arc_well_A20_GM12878_fixed_r24c61_yes_C1_Good_S1790.bed" 351156 700 0.998010549770361 0.0019894502296394 351856 "Human"
"372" "Arc_well_A20_GM12878_fixed_r24c62_yes_C1_Good_S1791.bed" 219379 413923 0.346405032670037 0.653594967329963 633302 "Collision"
"373" "Arc_well_A20_GM12878_fixed_r24c63_yes_C2_Good_S1792.bed" 903 447889 0.00201206795130038 0.9979879320487 448792 "Mouse"
"374" "Arc_well_A20_GM12878_fixed_r24c67_yes_C2_Good_S1796.bed" 870 439562 0.00197533330911469 0.998024666690885 440432 "Mouse"
"375" "Arc_well_A20_GM12878_fixed_r24c69_yes_C2_Good_S1798.bed" 668 416004 0.00160317947930266 0.998396820520697 416672 "Mouse"
"376" "Arc_well_A20_GM12878_fixed_r24c70_yes_C2_Good_S1799.bed" 469 224765 0.00208227887441505 0.997917721125585 225234 "Mouse"
"377" "Arc_well_A20_GM12878_fixed_r24c8_yes_C1_Good_S1737.bed" 1111 769807 0.00144113900570489 0.998558860994295 770918 "Mouse"
"378" "Arc_well_A20_GM12878_fixed_r25c10_yes_C2_Good_S1811.bed" 665837 1333 0.998002008483595 0.00199799151640511 667170 "Human"
"379" "Arc_well_A20_GM12878_fixed_r25c16_yes_C2_Good_S1817.bed" 1105 638874 0.00172661915469101 0.998273380845309 639979 "Mouse"
"380" "Arc_well_A20_GM12878_fixed_r25c17_yes_C2_Good_S1818.bed" 661740 1103 0.998335955874921 0.00166404412507939 662843 "Human"
"381" "Arc_well_A20_GM12878_fixed_r25c19_yes_C1_Good_S1820.bed" 1896 1043160 0.0018142568436524 0.998185743156348 1045056 "Mouse"
"382" "Arc_well_A20_GM12878_fixed_r25c20_yes_C1_Good_S1821.bed" 1288 768577 0.00167302059451982 0.99832697940548 769865 "Mouse"
"383" "Arc_well_A20_GM12878_fixed_r25c21_yes_C1_Good_S1822.bed" 1151 741976 0.00154886042358843 0.998451139576412 743127 "Mouse"
"384" "Arc_well_A20_GM12878_fixed_r25c22_yes_C1_Good_S1823.bed" 1619 974816 0.00165807247794272 0.998341927522057 976435 "Mouse"
"385" "Arc_well_A20_GM12878_fixed_r25c27_yes_C2_Good_S1828.bed" 668990 1075 0.998395678031236 0.00160432196876422 670065 "Human"
"386" "Arc_well_A20_GM12878_fixed_r25c2_yes_C1_Good_S1803.bed" 1405 790376 0.00177448056975351 0.998225519430247 791781 "Mouse"
"387" "Arc_well_A20_GM12878_fixed_r25c30_yes_C2_Good_S1831.bed" 764357 1426 0.998137853673952 0.00186214632604798 765783 "Human"
"388" "Arc_well_A20_GM12878_fixed_r25c35_yes_C2_Good_S1836.bed" 489852 990 0.99798305768455 0.00201694231544978 490842 "Human"
"389" "Arc_well_A20_GM12878_fixed_r25c37_yes_C1_Good_S1838.bed" 1241 716563 0.00172888420794534 0.998271115792055 717804 "Mouse"
"390" "Arc_well_A20_GM12878_fixed_r25c41_yes_C1_Good_S1842.bed" 696405 1609 0.997694888641202 0.00230511135879796 698014 "Human"
"391" "Arc_well_A20_GM12878_fixed_r25c44_yes_C1_Good_S1845.bed" 565700 1238 0.997816339705576 0.00218366029442373 566938 "Human"
"392" "Arc_well_A20_GM12878_fixed_r25c55_yes_C1_Good_S1856.bed" 394012 951 0.997592179520613 0.00240782047938668 394963 "Human"
"393" "Arc_well_A20_GM12878_fixed_r25c56_yes_C1_Good_S1857.bed" 991 445071 0.00222166425295138 0.997778335747049 446062 "Mouse"
"394" "Arc_well_A20_GM12878_fixed_r25c57_yes_C1_Good_S1858.bed" 761 436576 0.00174007687435547 0.998259923125644 437337 "Mouse"
"395" "Arc_well_A20_GM12878_fixed_r25c59_yes_C1_Good_S1860.bed" 540 274449 0.00196371491223285 0.998036285087767 274989 "Mouse"
"396" "Arc_well_A20_GM12878_fixed_r25c60_yes_C1_Good_S1861.bed" 993 536793 0.00184645937231538 0.998153540627685 537786 "Mouse"
"397" "Arc_well_A20_GM12878_fixed_r25c61_yes_C1_Good_S1862.bed" 355662 690 0.998063712284483 0.00193628771551724 356352 "Human"
"398" "Arc_well_A20_GM12878_fixed_r25c67_yes_C2_Good_S1868.bed" 652877 1317 0.997986835709285 0.00201316429071499 654194 "Human"
"399" "Arc_well_A20_GM12878_fixed_r25c6_yes_C1_Good_S1807.bed" 1110 720432 0.0015383719866619 0.998461628013338 721542 "Mouse"
"400" "Arc_well_A20_GM12878_fixed_r25c9_yes_C2_Good_S1810.bed" 379049 989 0.997397628658187 0.00260237134181319 380038 "Human"
"401" "Arc_well_A20_GM12878_fixed_r26c0_yes_C1_Good_S1873.bed" 1068 741556 0.00143814366354979 0.99856185633645 742624 "Mouse"
"402" "Arc_well_A20_GM12878_fixed_r26c13_yes_C2_Good_S1886.bed" 452760 924 0.9979633401222 0.00203665987780041 453684 "Human"
"403" "Arc_well_A20_GM12878_fixed_r26c15_yes_C2_Good_S1888.bed" 192412 571 0.997041190156646 0.00295880984335408 192983 "Human"
"404" "Arc_well_A20_GM12878_fixed_r26c16_yes_C2_Good_S1889.bed" 309212 737 0.997622189456975 0.00237781054302482 309949 "Human"
"405" "Arc_well_A20_GM12878_fixed_r26c19_yes_C1_Good_S1892.bed" 1090 654870 0.0016616866882127 0.998338313311787 655960 "Mouse"
"406" "Arc_well_A20_GM12878_fixed_r26c23_yes_C1_Good_S1896.bed" 511093 964 0.998117397086652 0.00188260291334754 512057 "Human"
"407" "Arc_well_A20_GM12878_fixed_r26c28_yes_C2_Good_S1901.bed" 671834 1213 0.998197748448474 0.00180225155152612 673047 "Human"
"408" "Arc_well_A20_GM12878_fixed_r26c30_yes_C2_Good_S1903.bed" 987 728042 0.00135385560793878 0.998646144392061 729029 "Mouse"
"409" "Arc_well_A20_GM12878_fixed_r26c31_yes_C2_Good_S1904.bed" 287 144264 0.00198545841951975 0.99801454158048 144551 "Mouse"
"410" "Arc_well_A20_GM12878_fixed_r26c41_yes_C1_Good_S1914.bed" 607798 1197 0.998034466621237 0.00196553337876337 608995 "Human"
"411" "Arc_well_A20_GM12878_fixed_r26c47_yes_C2_Good_S1920.bed" 606 324191 0.00186578077999489 0.998134219220005 324797 "Mouse"
"412" "Arc_well_A20_GM12878_fixed_r26c48_yes_C2_Good_S1921.bed" 7522 329176 0.0223404950430356 0.977659504956964 336698 "Mouse"
"413" "Arc_well_A20_GM12878_fixed_r26c4_yes_C1_Good_S1877.bed" 506 311050 0.00162410609970599 0.998375893900294 311556 "Mouse"
"414" "Arc_well_A20_GM12878_fixed_r26c53_yes_C2_Good_S1926.bed" 820 426619 0.00191840239192025 0.99808159760808 427439 "Mouse"
"415" "Arc_well_A20_GM12878_fixed_r26c56_yes_C1_Good_S1929.bed" 328917 757 0.997703792231113 0.00229620776888684 329674 "Human"
"416" "Arc_well_A20_GM12878_fixed_r26c58_yes_C1_Good_S1931.bed" 372628 173625 0.682152775362332 0.317847224637668 546253 "Collision"
"417" "Arc_well_A20_GM12878_fixed_r26c5_yes_C1_Good_S1878.bed" 285 100582 0.00282550288994418 0.997174497110056 100867 "Mouse"
"418" "Arc_well_A20_GM12878_fixed_r26c60_yes_C1_Good_S1933.bed" 718 370444 0.00193446527392352 0.998065534726077 371162 "Mouse"
"419" "Arc_well_A20_GM12878_fixed_r26c67_yes_C2_Good_S1940.bed" 356842 772 0.997841247825868 0.00215875217413189 357614 "Human"
"420" "Arc_well_A20_GM12878_fixed_r26c68_yes_C2_Good_S1941.bed" 678 211554 0.00319461721135361 0.996805382788646 212232 "Mouse"
"421" "Arc_well_A20_GM12878_fixed_r26c69_yes_C2_Good_S1942.bed" 371169 645 0.99826526166309 0.00173473833691039 371814 "Human"
"422" "Arc_well_A20_GM12878_fixed_r26c8_yes_C1_Good_S1881.bed" 585503 966 0.998352854115051 0.00164714588494874 586469 "Human"
"423" "Arc_well_A20_GM12878_fixed_r27c0_yes_D1_Good_S1945.bed" 1344 956486 0.00140317175281626 0.998596828247184 957830 "Mouse"
"424" "Arc_well_A20_GM12878_fixed_r27c14_yes_D2_Good_S1959.bed" 876058 1724 0.998035958814375 0.00196404118562468 877782 "Human"
"425" "Arc_well_A20_GM12878_fixed_r27c15_yes_D2_Good_S1960.bed" 1495 660537 0.00225819899944414 0.997741801000556 662032 "Mouse"
"426" "Arc_well_A20_GM12878_fixed_r27c17_yes_D2_Good_S1962.bed" 517325 984 0.998101518592191 0.00189848140780886 518309 "Human"
"427" "Arc_well_A20_GM12878_fixed_r27c24_yes_D1_Good_S1969.bed" 1244 531893 0.00233335896777001 0.99766664103223 533137 "Mouse"
"428" "Arc_well_A20_GM12878_fixed_r27c2_yes_D1_Good_S1947.bed" 1368 1005467 0.00135871319531006 0.99864128680469 1006835 "Mouse"
"429" "Arc_well_A20_GM12878_fixed_r27c30_yes_D2_Good_S1975.bed" 1037 823299 0.00125798218202286 0.998742017817977 824336 "Mouse"
"430" "Arc_well_A20_GM12878_fixed_r27c33_yes_D2_Good_S1978.bed" 255070 553 0.997836657890722 0.00216334210927812 255623 "Human"
"431" "Arc_well_A20_GM12878_fixed_r27c37_yes_D1_Good_S1982.bed" 750 328100 0.00228067507982363 0.997719324920176 328850 "Mouse"
"432" "Arc_well_A20_GM12878_fixed_r27c39_yes_D1_Good_S1984.bed" 533371 1159 0.9978317400333 0.00216825996669972 534530 "Human"
"433" "Arc_well_A20_GM12878_fixed_r27c3_yes_D1_Good_S1948.bed" 907243 1410 0.99844825252324 0.00155174747675956 908653 "Human"
"434" "Arc_well_A20_GM12878_fixed_r27c41_yes_D1_Good_S1986.bed" 695 108493 0.0063651683335165 0.993634831666483 109188 "Mouse"
"435" "Arc_well_A20_GM12878_fixed_r27c42_yes_D1_Good_S1987.bed" 1064 440418 0.00241006428348155 0.997589935716518 441482 "Mouse"
"436" "Arc_well_A20_GM12878_fixed_r27c50_yes_D2_Good_S1995.bed" 370426 787 0.997879923386304 0.00212007661369618 371213 "Human"
"437" "Arc_well_A20_GM12878_fixed_r27c52_yes_D2_Good_S1997.bed" 1208 363938 0.00330826573480197 0.996691734265198 365146 "Mouse"
"438" "Arc_well_A20_GM12878_fixed_r27c53_yes_D2_Good_S1998.bed" 780 382259 0.00203634616840583 0.997963653831594 383039 "Mouse"
"439" "Arc_well_A20_GM12878_fixed_r27c54_yes_D1_Good_S1999.bed" 942 429793 0.00218695949946022 0.99781304050054 430735 "Mouse"
"440" "Arc_well_A20_GM12878_fixed_r27c56_yes_D1_Good_S2001.bed" 406960 931 0.997717527476703 0.00228247252329666 407891 "Human"
"441" "Arc_well_A20_GM12878_fixed_r27c57_yes_D1_Good_S2002.bed" 825 336383 0.00244656117292591 0.997553438827074 337208 "Mouse"
"442" "Arc_well_A20_GM12878_fixed_r27c58_yes_D1_Good_S2003.bed" 831 351768 0.00235678490296342 0.997643215097037 352599 "Mouse"
"443" "Arc_well_A20_GM12878_fixed_r27c5_yes_D1_Good_S1950.bed" 776046 1330 0.998289116206315 0.00171088379368542 777376 "Human"
"444" "Arc_well_A20_GM12878_fixed_r27c60_yes_D1_Good_S2005.bed" 368527 908 0.997542192807936 0.00245780719206356 369435 "Human"
"445" "Arc_well_A20_GM12878_fixed_r27c63_yes_D2_Good_S2008.bed" 423548 819 0.998070066711125 0.00192993328887496 424367 "Human"
"446" "Arc_well_A20_GM12878_fixed_r27c66_yes_D2_Good_S2011.bed" 703370 76746 0.90162232283404 0.0983776771659599 780116 "Collision"
"447" "Arc_well_A20_GM12878_fixed_r28c12_yes_D2_Good_S2029.bed" 458757 900 0.998042018287549 0.00195798171245081 459657 "Human"
"448" "Arc_well_A20_GM12878_fixed_r28c15_yes_D2_Good_S2032.bed" 1123 711619 0.00157560519795382 0.998424394802046 712742 "Mouse"
"449" "Arc_well_A20_GM12878_fixed_r28c19_yes_D1_Good_S2036.bed" 5366 538203 0.00987179180564013 0.99012820819436 543569 "Mouse"
"450" "Arc_well_A20_GM12878_fixed_r28c24_yes_D1_Good_S2041.bed" 772 342228 0.00225072886297376 0.997749271137026 343000 "Mouse"
"451" "Arc_well_A20_GM12878_fixed_r28c27_yes_D2_Good_S2044.bed" 512342 427518 0.545125869810397 0.454874130189603 939860 "Collision"
"452" "Arc_well_A20_GM12878_fixed_r28c28_yes_D2_Good_S2045.bed" 2974 704091 0.00420611966368014 0.99579388033632 707065 "Mouse"
"453" "Arc_well_A20_GM12878_fixed_r28c32_yes_D2_Good_S2049.bed" 768 200516 0.00381550446135808 0.996184495538642 201284 "Mouse"
"454" "Arc_well_A20_GM12878_fixed_r28c34_yes_D2_Good_S2051.bed" 489194 1075 0.997807326182157 0.00219267381784286 490269 "Human"
"455" "Arc_well_A20_GM12878_fixed_r28c37_yes_D1_Good_S2054.bed" 750 363662 0.00205811005126066 0.997941889948739 364412 "Mouse"
"456" "Arc_well_A20_GM12878_fixed_r28c38_yes_D1_Good_S2055.bed" 478437 1176 0.997548023093619 0.00245197690638077 479613 "Human"
"457" "Arc_well_A20_GM12878_fixed_r28c40_yes_D1_Good_S2057.bed" 1436 713730 0.00200792543269674 0.997992074567303 715166 "Mouse"
"458" "Arc_well_A20_GM12878_fixed_r28c45_yes_D2_Good_S2062.bed" 978 446048 0.00218779220895429 0.997812207791046 447026 "Mouse"
"459" "Arc_well_A20_GM12878_fixed_r28c4_yes_D1_Good_S2021.bed" 368669 667 0.998194056360604 0.00180594363939611 369336 "Human"
"460" "Arc_well_A20_GM12878_fixed_r28c54_yes_D1_Good_S2071.bed" 1104 706035 0.00156122063696105 0.998438779363039 707139 "Mouse"
"461" "Arc_well_A20_GM12878_fixed_r28c57_yes_D1_Good_S2074.bed" 300973 366506 0.450910066084476 0.549089933915524 667479 "Collision"
"462" "Arc_well_A20_GM12878_fixed_r28c58_yes_D1_Good_S2075.bed" 642278 1305 0.997972289510444 0.00202771048955613 643583 "Human"
"463" "Arc_well_A20_GM12878_fixed_r28c59_yes_D1_Good_S2076.bed" 463952 775 0.998332354263901 0.00166764573609883 464727 "Human"
"464" "Arc_well_A20_GM12878_fixed_r28c60_yes_D1_Good_S2077.bed" 797 507261 0.00156871853213609 0.998431281467864 508058 "Mouse"
"465" "Arc_well_A20_GM12878_fixed_r28c68_yes_D2_Good_S2085.bed" 1133 432751 0.00261129702869892 0.997388702971301 433884 "Mouse"
"466" "Arc_well_A20_GM12878_fixed_r28c69_yes_D2_Good_S2086.bed" 902 400263 0.0022484513853402 0.99775154861466 401165 "Mouse"
"467" "Arc_well_A20_GM12878_fixed_r28c6_yes_D1_Good_S2023.bed" 1134 643721 0.00175853486442689 0.998241465135573 644855 "Mouse"
"468" "Arc_well_A20_GM12878_fixed_r28c70_yes_D2_Good_S2087.bed" 568666 938 0.998353241901391 0.00164675809860886 569604 "Human"
"469" "Arc_well_A20_GM12878_fixed_r28c8_yes_D1_Good_S2025.bed" 652829 1070 0.998363661666404 0.00163633833359586 653899 "Human"
"470" "Arc_well_A20_GM12878_fixed_r29c13_yes_D2_Good_S2102.bed" 969 628195 0.00154013897807249 0.998459861021928 629164 "Mouse"
"471" "Arc_well_A20_GM12878_fixed_r29c14_yes_D2_Good_S2103.bed" 1562 1018395 0.00153143710960364 0.998468562890396 1019957 "Mouse"
"472" "Arc_well_A20_GM12878_fixed_r29c16_yes_D2_Good_S2105.bed" 1309 884741 0.00147734326505276 0.998522656734947 886050 "Mouse"
"473" "Arc_well_A20_GM12878_fixed_r29c20_yes_D1_Good_S2109.bed" 969 519987 0.00186004192292631 0.998139958077074 520956 "Mouse"
"474" "Arc_well_A20_GM12878_fixed_r29c22_yes_D1_Good_S2111.bed" 1278 618521 0.00206195879631945 0.997938041203681 619799 "Mouse"
"475" "Arc_well_A20_GM12878_fixed_r29c24_yes_D1_Good_S2113.bed" 814 325158 0.00249714699422036 0.99750285300578 325972 "Mouse"
"476" "Arc_well_A20_GM12878_fixed_r29c27_yes_D2_Good_S2116.bed" 1883 1066313 0.00176278510685305 0.998237214893147 1068196 "Mouse"
"477" "Arc_well_A20_GM12878_fixed_r29c29_yes_D2_Good_S2118.bed" 717553 2490 0.996541873193684 0.00345812680631573 720043 "Human"
"478" "Arc_well_A20_GM12878_fixed_r29c30_yes_D2_Good_S2119.bed" 920 487897 0.00188209493532344 0.998117905064677 488817 "Mouse"
"479" "Arc_well_A20_GM12878_fixed_r29c31_yes_D2_Good_S2120.bed" 196132 545 0.997228959156383 0.00277104084361669 196677 "Human"
"480" "Arc_well_A20_GM12878_fixed_r29c35_yes_D2_Good_S2124.bed" 758 301440 0.00250828926730157 0.997491710732698 302198 "Mouse"
"481" "Arc_well_A20_GM12878_fixed_r29c3_yes_D1_Good_S2092.bed" 787 434086 0.00180972375843062 0.998190276241569 434873 "Mouse"
"482" "Arc_well_A20_GM12878_fixed_r29c40_yes_D1_Good_S2129.bed" 672148 1213 0.998198588869863 0.00180141113013673 673361 "Human"
"483" "Arc_well_A20_GM12878_fixed_r29c45_yes_D2_Good_S2134.bed" 925 527792 0.00174951817323824 0.998250481826762 528717 "Mouse"
"484" "Arc_well_A20_GM12878_fixed_r29c46_yes_D2_Good_S2135.bed" 318003 879 0.997243494458765 0.00275650554123469 318882 "Human"
"485" "Arc_well_A20_GM12878_fixed_r29c47_yes_D2_Good_S2136.bed" 367855 915 0.997518778642514 0.0024812213574857 368770 "Human"
"486" "Arc_well_A20_GM12878_fixed_r29c4_yes_D1_Good_S2093.bed" 1239 834779 0.00148202550662785 0.998517974493372 836018 "Mouse"
"487" "Arc_well_A20_GM12878_fixed_r29c54_yes_D1_Good_S2143.bed" 599331 1148 0.998088192925981 0.00191180707401924 600479 "Human"
"488" "Arc_well_A20_GM12878_fixed_r29c56_yes_D1_Good_S2145.bed" 1352 671859 0.00200828566378149 0.997991714336218 673211 "Mouse"
"489" "Arc_well_A20_GM12878_fixed_r29c57_yes_D1_Good_S2146.bed" 902 393207 0.00228870693133118 0.997711293068669 394109 "Mouse"
"490" "Arc_well_A20_GM12878_fixed_r29c60_yes_D1_Good_S2149.bed" 905 445156 0.00202887049080731 0.997971129509193 446061 "Mouse"
"491" "Arc_well_A20_GM12878_fixed_r29c62_yes_D1_Good_S2151.bed" 53835 587411 0.0839537400623162 0.916046259937684 641246 "Collision"
"492" "Arc_well_A20_GM12878_fixed_r29c63_yes_D2_Good_S2152.bed" 946 561650 0.00168149080334734 0.998318509196653 562596 "Mouse"
"493" "Arc_well_A20_GM12878_fixed_r29c7_yes_D1_Good_S2096.bed" 904 519768 0.00173621781082908 0.998263782189171 520672 "Mouse"
"494" "Arc_well_A20_GM12878_fixed_r2c0_yes_A1_Good_S145.bed" 312527 608 0.998058345442062 0.00194165455793827 313135 "Human"
"495" "Arc_well_A20_GM12878_fixed_r2c15_yes_A2_Good_S160.bed" 543525 999 0.998165370121427 0.00183462987857285 544524 "Human"
"496" "Arc_well_A20_GM12878_fixed_r2c17_yes_A2_Good_S162.bed" 451137 835 0.998152540422858 0.00184745957714195 451972 "Human"
"497" "Arc_well_A20_GM12878_fixed_r2c18_yes_A1_Good_S163.bed" 321 173235 0.00184954712023785 0.998150452879762 173556 "Mouse"
"498" "Arc_well_A20_GM12878_fixed_r2c1_yes_A1_Good_S146.bed" 526998 796 0.998491835829888 0.00150816417011182 527794 "Human"
"499" "Arc_well_A20_GM12878_fixed_r2c22_yes_A1_Good_S167.bed" 34380 591194 0.0549575270071966 0.945042472992803 625574 "Collision"
"500" "Arc_well_A20_GM12878_fixed_r2c23_yes_A1_Good_S168.bed" 1121 624819 0.0017909064766591 0.998209093523341 625940 "Mouse"
"501" "Arc_well_A20_GM12878_fixed_r2c26_yes_A1_Good_S171.bed" 530248 920 0.998267967949876 0.0017320320501235 531168 "Human"
"502" "Arc_well_A20_GM12878_fixed_r2c28_yes_A2_Good_S173.bed" 1324 774291 0.00170703248389987 0.9982929675161 775615 "Mouse"
"503" "Arc_well_A20_GM12878_fixed_r2c36_yes_A1_Good_S181.bed" 93365 196821 0.321741917253072 0.678258082746928 290186 "Collision"
"504" "Arc_well_A20_GM12878_fixed_r2c39_yes_A1_Good_S184.bed" 957 536161 0.00178173138863341 0.998218268611367 537118 "Mouse"
"505" "Arc_well_A20_GM12878_fixed_r2c43_yes_A1_Good_S188.bed" 487 266088 0.00182687798930882 0.998173122010691 266575 "Mouse"
"506" "Arc_well_A20_GM12878_fixed_r2c44_yes_A1_Good_S189.bed" 431023 938 0.997828507666201 0.00217149233379865 431961 "Human"
"507" "Arc_well_A20_GM12878_fixed_r2c50_yes_A2_Good_S195.bed" 729 338961 0.00214607436191822 0.997853925638082 339690 "Mouse"
"508" "Arc_well_A20_GM12878_fixed_r2c51_yes_A2_Good_S196.bed" 894 483892 0.00184411266001906 0.998155887339981 484786 "Mouse"
"509" "Arc_well_A20_GM12878_fixed_r2c56_yes_A1_Good_S201.bed" 462261 952 0.997944789977829 0.00205521002217123 463213 "Human"
"510" "Arc_well_A20_GM12878_fixed_r2c57_yes_A1_Good_S202.bed" 457 270735 0.00168515295436444 0.998314847045636 271192 "Mouse"
"511" "Arc_well_A20_GM12878_fixed_r2c58_yes_A1_Good_S203.bed" 624 376776 0.00165341812400636 0.998346581875994 377400 "Mouse"
"512" "Arc_well_A20_GM12878_fixed_r2c5_yes_A1_Good_S150.bed" 681 445666 0.00152571877933536 0.998474281220665 446347 "Mouse"
"513" "Arc_well_A20_GM12878_fixed_r2c61_yes_A1_Good_S206.bed" 532 339610 0.0015640526603595 0.99843594733964 340142 "Mouse"
"514" "Arc_well_A20_GM12878_fixed_r2c62_yes_A1_Good_S207.bed" 684 336986 0.00202564634110226 0.997974353658898 337670 "Mouse"
"515" "Arc_well_A20_GM12878_fixed_r2c65_yes_A2_Good_S210.bed" 594069 1051 0.998233969619573 0.00176603038042748 595120 "Human"
"516" "Arc_well_A20_GM12878_fixed_r2c67_yes_A2_Good_S212.bed" 530 318280 0.00166243216963081 0.998337567830369 318810 "Mouse"
"517" "Arc_well_A20_GM12878_fixed_r2c69_yes_A2_Good_S214.bed" 821 449473 0.0018232532523196 0.99817674674768 450294 "Mouse"
"518" "Arc_well_A20_GM12878_fixed_r2c70_yes_A2_Good_S215.bed" 542 304475 0.00177695013720547 0.998223049862795 305017 "Mouse"
"519" "Arc_well_A20_GM12878_fixed_r2c71_yes_A2_Good_S216.bed" 757 521853 0.00144849888061843 0.998551501119382 522610 "Mouse"
"520" "Arc_well_A20_GM12878_fixed_r2c7_yes_A1_Good_S152.bed" 352934 672 0.998099579758262 0.00190042024173798 353606 "Human"
"521" "Arc_well_A20_GM12878_fixed_r30c12_yes_D2_Good_S2173.bed" 1085 558165 0.00194009834599911 0.998059901654001 559250 "Mouse"
"522" "Arc_well_A20_GM12878_fixed_r30c15_yes_D2_Good_S2176.bed" 1091 514409 0.00211639185257032 0.99788360814743 515500 "Mouse"
"523" "Arc_well_A20_GM12878_fixed_r30c16_yes_D2_Good_S2177.bed" 1555 851523 0.00182281104424214 0.998177188955758 853078 "Mouse"
"524" "Arc_well_A20_GM12878_fixed_r30c18_yes_D1_Good_S2179.bed" 210351 379 0.998201490058369 0.00179850994163147 210730 "Human"
"525" "Arc_well_A20_GM12878_fixed_r30c22_yes_D1_Good_S2183.bed" 542853 1368 0.997486315302056 0.0025136846979444 544221 "Human"
"526" "Arc_well_A20_GM12878_fixed_r30c28_yes_D2_Good_S2189.bed" 566350 1873 0.996703758911554 0.00329624108844591 568223 "Human"
"527" "Arc_well_A20_GM12878_fixed_r30c30_yes_D2_Good_S2191.bed" 821161 1600 0.998055328339579 0.00194467166042143 822761 "Human"
"528" "Arc_well_A20_GM12878_fixed_r30c33_yes_D2_Good_S2194.bed" 674 356340 0.00188788114751802 0.998112118852482 357014 "Mouse"
"529" "Arc_well_A20_GM12878_fixed_r30c34_yes_D2_Good_S2195.bed" 414721 5409 0.987125413562469 0.0128745864375312 420130 "Human"
"530" "Arc_well_A20_GM12878_fixed_r30c36_yes_D1_Good_S2197.bed" 878 535370 0.00163730214378422 0.998362697856216 536248 "Mouse"
"531" "Arc_well_A20_GM12878_fixed_r30c38_yes_D1_Good_S2199.bed" 712564 1417 0.998015353349739 0.001984646650261 713981 "Human"
"532" "Arc_well_A20_GM12878_fixed_r30c39_yes_D1_Good_S2200.bed" 300355 152244 0.663622765406022 0.336377234593978 452599 "Collision"
"533" "Arc_well_A20_GM12878_fixed_r30c40_yes_D1_Good_S2201.bed" 1685 956346 0.00175881573769534 0.998241184262305 958031 "Mouse"
"534" "Arc_well_A20_GM12878_fixed_r30c47_yes_D2_Good_S2208.bed" 898 530486 0.00168992668202279 0.998310073317977 531384 "Mouse"
"535" "Arc_well_A20_GM12878_fixed_r30c48_yes_D2_Good_S2209.bed" 977 577435 0.00168910741824167 0.998310892581758 578412 "Mouse"
"536" "Arc_well_A20_GM12878_fixed_r30c51_yes_D2_Good_S2212.bed" 835 580319 0.00143679644293939 0.998563203557061 581154 "Mouse"
"537" "Arc_well_A20_GM12878_fixed_r30c52_yes_D2_Good_S2213.bed" 803473 1436 0.998215947392811 0.00178405260718914 804909 "Human"
"538" "Arc_well_A20_GM12878_fixed_r30c57_yes_D1_Good_S2218.bed" 561211 1360 0.997582527360991 0.00241747263900912 562571 "Human"
"539" "Arc_well_A20_GM12878_fixed_r30c59_yes_D1_Good_S2220.bed" 599 298626 0.00200183808171109 0.997998161918289 299225 "Mouse"
"540" "Arc_well_A20_GM12878_fixed_r30c60_yes_D1_Good_S2221.bed" 776 171381 0.00450751349059289 0.995492486509407 172157 "Mouse"
"541" "Arc_well_A20_GM12878_fixed_r30c66_yes_D2_Good_S2227.bed" 1329 806026 0.00164611602083346 0.998353883979167 807355 "Mouse"
"542" "Arc_well_A20_GM12878_fixed_r30c70_yes_D2_Good_S2231.bed" 576 371606 0.00154762992299466 0.998452370077005 372182 "Mouse"
"543" "Arc_well_A20_GM12878_fixed_r30c7_yes_D1_Good_S2168.bed" 1009 429371 0.00234443979738835 0.997655560202612 430380 "Mouse"
"544" "Arc_well_A20_GM12878_fixed_r31c12_yes_D2_Good_S2245.bed" 893027 1424 0.998407961978912 0.0015920380210878 894451 "Human"
"545" "Arc_well_A20_GM12878_fixed_r31c14_yes_D2_Good_S2247.bed" 1013206 1649 0.99837513733489 0.00162486266510979 1014855 "Human"
"546" "Arc_well_A20_GM12878_fixed_r31c16_yes_D2_Good_S2249.bed" 558804 1221 0.99781974019017 0.00218025980982992 560025 "Human"
"547" "Arc_well_A20_GM12878_fixed_r31c17_yes_D2_Good_S2250.bed" 621625 1162 0.998134193552531 0.0018658064474692 622787 "Human"
"548" "Arc_well_A20_GM12878_fixed_r31c18_yes_D1_Good_S2251.bed" 548 267268 0.00204618096006213 0.997953819039938 267816 "Mouse"
"549" "Arc_well_A20_GM12878_fixed_r31c19_yes_D1_Good_S2252.bed" 892897 1533 0.998286059277976 0.00171394072202408 894430 "Human"
"550" "Arc_well_A20_GM12878_fixed_r31c22_yes_D1_Good_S2255.bed" 1313 655365 0.00199945787737674 0.998000542122623 656678 "Mouse"
