"cellname" "hg19" "mm10" "p_hg19" "p_mm10" "tt" "class"
"327" "Arc_well_A20_GM12878_fixed_r22c29_yes_C2_Good_S1614.bed" 1078 709732 0.00151657967670686 0.998483420323293 710810 "Mouse"
"328" "Arc_well_A20_GM12878_fixed_r22c31_yes_C2_Good_S1616.bed" 574 372842 0.00153715962893931 0.998462840371061 373416 "Mouse"
"329" "Arc_well_A20_GM12878_fixed_r22c32_yes_C2_Good_S1617.bed" 932 655903 0.00141892560536512 0.998581074394635 656835 "Mouse"
"330" "Arc_well_A20_GM12878_fixed_r22c34_yes_C2_Good_S1619.bed" 1159 752402 0.00153803076326933 0.998461969236731 753561 "Mouse"
"331" "Arc_well_A20_GM12878_fixed_r22c38_yes_C1_Good_S1623.bed" 1287 745798 0.00172269554334513 0.998277304456655 747085 "Mouse"
"332" "Arc_well_A20_GM12878_fixed_r22c39_yes_C1_Good_S1624.bed" 1058 621291 0.00170001076566364 0.998299989234336 622349 "Mouse"
"333" "Arc_well_A20_GM12878_fixed_r22c3_yes_C1_Good_S1588.bed" 823 533415 0.0015405119066783 0.998459488093322 534238 "Mouse"
"334" "Arc_well_A20_GM12878_fixed_r22c41_yes_C1_Good_S1626.bed" 795090 1419 0.998218475874096 0.00178152412590442 796509 "Human"
"335" "Arc_well_A20_GM12878_fixed_r22c42_yes_C1_Good_S1627.bed" 1045 656106 0.00159019768668084 0.998409802313319 657151 "Mouse"
"336" "Arc_well_A20_GM12878_fixed_r22c45_yes_C2_Good_S1630.bed" 1073 612733 0.00174810933747797 0.998251890662522 613806 "Mouse"
"337" "Arc_well_A20_GM12878_fixed_r22c4_yes_C1_Good_S1589.bed" 644615 973 0.998492846831106 0.00150715316889409 645588 "Human"
"338" "Arc_well_A20_GM12878_fixed_r22c62_yes_C1_Good_S1647.bed" 748489 1254 0.998327426864939 0.00167257313506095 749743 "Human"
"339" "Arc_well_A20_GM12878_fixed_r22c69_yes_C2_Good_S1654.bed" 233840 661 0.997181248694035 0.00281875130596458 234501 "Human"
