sample	reads_total	reads_assigned_bins	percentage_duplicates	median_bin_count	filter_corr_value	ReadsKept	MedianBinCount	dups_percentage	sample_name	over_disp
MDA231-9x-cell1235_S1235_R1_001	1029678	838486	0.19	116	0.926	838486	116	0.185681348926558	arc_well_mda231	0.0166415869898036
MDA231-9x-cell1238_S1238_R1_001	1089814	894388	0.18	126	0.882	894388	126	0.179320507903183	arc_well_mda231	0.0172955738214248
MDA231-9x-cell124_S124_R1_001	892203	731495	0.18	106	0.931	731495	106	0.180124926726317	arc_well_mda231	0.013830215210617
MDA231-9x-cell1243_S1243_R1_001	670363	557160	0.17	82	0.979	557160	82	0.168868210208499	arc_well_mda231	0.00806960410178242
MDA231-9x-cell1253_S1253_R1_001	1295904	1088311	0.16	162	0.98	1088311	162	0.160191649998765	arc_well_mda231	0.00341344719945242
MDA231-9x-cell1270_S1270_R1_001	1340849	1115209	0.17	166	0.979	1115209	166	0.168281439595361	arc_well_mda231	0.00225427820989872
MDA231-9x-cell1271_S1271_R1_001	744834	618885	0.17	92	0.971	618885	92	0.169096738333642	arc_well_mda231	0.00470856975176642
MDA231-9x-cell1281_S1281_R1_001	1575711	1311860	0.17	196	0.891	1311860	196	0.167448853247835	arc_well_mda231	0.00638411412986784
MDA231-9x-cell1294_S1294_R1_001	783287	656722	0.16	100	0.996	656722	100	0.161581897822893	arc_well_mda231	0.00297320879382154
MDA231-9x-cell1295_S1295_R1_001	811562	677286	0.17	92	0.908	677286	92	0.165453779255313	arc_well_mda231	0.0162207604465755
MDA231-9x-cell1296_S1296_R1_001	1469279	1214562	0.17	178	0.93	1214562	178	0.173361900632895	arc_well_mda231	0.00550990256361452
MDA231-9x-cell1297_S1297_R1_001	963016	808752	0.16	122	0.989	808752	122	0.160188408084601	arc_well_mda231	0.00307921917639472
MDA231-9x-cell1299_S1299_R1_001	1047633	864568	0.17	130	0.915	864568	130	0.174741536396811	arc_well_mda231	0.00533296426412731
MDA231-9x-cell13_S13_R1_001	875719	746174	0.15	114	0.968	746174	114	0.147929872481926	arc_well_mda231	0.00272959983185259
MDA231-9x-cell130_S130_R1_001	1005740	837553	0.17	120	0.876	837553	120	0.167227116352139	arc_well_mda231	0.0159916312243242
MDA231-9x-cell1304_S1304_R1_001	162387	137511	0.15	18	0.877	137511	18	0.153189602615973	arc_well_mda231	0.0216806207393344
MDA231-9x-cell1306_S1306_R1_001	868679	750003	0.14	112	0.965	750003	112	0.13661663284136	arc_well_mda231	0.00415365041621286
MDA231-9x-cell1307_S1307_R1_001	1096055	897036	0.18	138	0.979	897036	138	0.181577566819183	arc_well_mda231	0.00382915060307707
MDA231-9x-cell1311_S1311_R1_001	695470	586788	0.16	88	0.991	586788	88	0.156271298546307	arc_well_mda231	0.0026071357736702
MDA231-9x-cell1316_S1316_R1_001	1074279	893961	0.17	132	0.907	893961	132	0.16785025119173	arc_well_mda231	0.0124431488252695
MDA231-9x-cell1317_S1317_R1_001	784635	666441	0.15	98	0.836	666441	98	0.150635645873559	arc_well_mda231	0.0185373018098626
MDA231-9x-cell1318_S1318_R1_001	772529	647129	0.16	98	0.981	647129	98	0.162324003370747	arc_well_mda231	0.00296633135212815
MDA231-9x-cell1321_S1321_R1_001	581033	491093	0.15	74	0.965	491093	74	0.154793273359689	arc_well_mda231	0.00378172602030264
MDA231-9x-cell1331_S1331_R1_001	686189	579941	0.15	88	0.99	579941	88	0.154837807076476	arc_well_mda231	0.00443901678371046
MDA231-9x-cell1332_S1332_R1_001	268996	231030	0.14	34	0.97	231030	34	0.141139645199185	arc_well_mda231	0.00488275991658213
MDA231-9x-cell1342_S1342_R1_001	1033968	865066	0.16	118	0.927	865066	118	0.163353217894558	arc_well_mda231	0.0155222674206029
MDA231-9x-cell1344_S1344_R1_001	979619	822236	0.16	120	0.954	822236	120	0.160657357605355	arc_well_mda231	0.00273030799362174
MDA231-9x-cell1345_S1345_R1_001	1019030	845039	0.17	126	0.974	845039	126	0.170741783853272	arc_well_mda231	0.011380580878657
MDA231-9x-cell1346_S1346_R1_001	183402	162752	0.11	24	0.847	162752	24	0.112594191993544	arc_well_mda231	0.0146235590875797
MDA231-9x-cell1347_S1347_R1_001	901632	755118	0.16	106	0.93	755118	106	0.162498669080068	arc_well_mda231	0.0157208957187457
MDA231-9x-cell1348_S1348_R1_001	860829	727479	0.15	108	0.871	727479	108	0.154908814642629	arc_well_mda231	0.00703713809615137
MDA231-9x-cell135_S135_R1_001	1198969	983865	0.18	134	0.861	983865	134	0.179407474254964	arc_well_mda231	0.0130793456150599
MDA231-9x-cell1351_S1351_R1_001	916048	762996	0.17	118	0.949	762996	118	0.167078581035055	arc_well_mda231	0.00400464064817148
MDA231-9x-cell1353_S1353_R1_001	1236823	1028435	0.17	152	0.913	1028435	152	0.168486517472589	arc_well_mda231	0.0111054360643851
MDA231-9x-cell1354_S1354_R1_001	816510	705331	0.14	108	0.985	705331	108	0.13616367221467	arc_well_mda231	0.00377941435023882
MDA231-9x-cell1362_S1362_R1_001	716131	591505	0.17	90	0.992	591505	90	0.174026819115497	arc_well_mda231	0.00385425059333467
MDA231-9x-cell1365_S1365_R1_001	282778	241287	0.15	32	0.907	241287	32	0.146726407287696	arc_well_mda231	0.0045396701670071
MDA231-9x-cell1374_S1374_R1_001	1105389	911242	0.18	136	0.973	911242	136	0.175636812018213	arc_well_mda231	0.00362565024094152
MDA231-9x-cell1375_S1375_R1_001	1088100	887284	0.18	134	0.962	887284	134	0.18455656649205	arc_well_mda231	0.00349029626802098
MDA231-9x-cell1378_S1378_R1_001	709391	613679	0.13	90	0.881	613679	90	0.134921362126105	arc_well_mda231	0.00410571309556912
MDA231-9x-cell1388_S1388_R1_001	679856	563474	0.17	84	0.951	563474	84	0.171186251206138	arc_well_mda231	0.00498058363923332
MDA231-9x-cell1398_S1398_R1_001	960118	791759	0.18	122	0.936	791759	122	0.175352404600268	arc_well_mda231	0.0048826706100956
MDA231-9x-cell1399_S1399_R1_001	1206532	1003401	0.17	150	0.882	1003401	150	0.168359397015579	arc_well_mda231	0.0135294672647714
MDA231-9x-cell1409_S1409_R1_001	943380	784994	0.17	120	0.989	784994	120	0.167892047743221	arc_well_mda231	0.0031822307427384
MDA231-9x-cell141_S141_R1_001	982624	805462	0.18	120	0.964	805462	120	0.180294802488032	arc_well_mda231	0.00292908239517322
MDA231-9x-cell1410_S1410_R1_001	863106	735510	0.15	112	0.958	735510	112	0.147833522186151	arc_well_mda231	0.00339554061655442
MDA231-9x-cell1411_S1411_R1_001	1387133	1166075	0.16	180	0.927	1166075	180	0.159363233374161	arc_well_mda231	0.00301596279822668
MDA231-9x-cell1412_S1412_R1_001	1005085	835131	0.17	128	0.951	835131	128	0.169094156215643	arc_well_mda231	0.0026995499958596
MDA231-9x-cell1418_S1418_R1_001	157018	138982	0.11	20	0.859	138982	20	0.114865811563006	arc_well_mda231	0.00814463589707315
MDA231-9x-cell1421_S1421_R1_001	1441124	1188020	0.18	174	0.949	1188020	174	0.17562957802382	arc_well_mda231	0.00328161407826419
MDA231-9x-cell1422_S1422_R1_001	956530	822637	0.14	112	0.901	822637	112	0.139977836555048	arc_well_mda231	0.0156696177727286
MDA231-9x-cell1433_S1433_R1_001	1039835	896717	0.14	134	0.985	896717	134	0.137635297907841	arc_well_mda231	0.00347323445917331
MDA231-9x-cell1437_S1437_R1_001	337262	284128	0.16	40	0.913	284128	40	0.157545172595786	arc_well_mda231	0.0108080029692296
MDA231-9x-cell1438_S1438_R1_001	807323	691980	0.14	104	0.969	691980	104	0.142870945086415	arc_well_mda231	0.0031739144633442
MDA231-9x-cell1446_S1446_R1_001	1049359	867654	0.17	128	0.973	867654	128	0.173158089843419	arc_well_mda231	0.00211928064136958
MDA231-9x-cell145_S145_R1_001	569022	501583	0.12	76	0.987	501583	76	0.118517385971017	arc_well_mda231	0.00354632269849136
MDA231-9x-cell1455_S1455_R1_001	1018306	861515	0.15	130	0.951	861515	130	0.153972381582746	arc_well_mda231	0.00451112201562835
MDA231-9x-cell1473_S1473_R1_001	1090425	929215	0.15	130	0.899	929215	130	0.147841437971433	arc_well_mda231	0.0149385208479781
MDA231-9x-cell1481_S1481_R1_001	886941	735567	0.17	112	0.963	735567	112	0.170669751426532	arc_well_mda231	0.00510638967148854
MDA231-9x-cell1484_S1484_R1_001	594044	500177	0.16	72	0.944	500177	72	0.158013547818007	arc_well_mda231	0.00758559307874501
MDA231-9x-cell1487_S1487_R1_001	1177495	983656	0.16	148	0.952	983656	148	0.164619807302791	arc_well_mda231	0.00346182674766971
MDA231-9x-cell1492_S1492_R1_001	863441	715235	0.17	110	0.992	715235	110	0.171645775449625	arc_well_mda231	0.00295494622830134
MDA231-9x-cell1497_S1497_R1_001	1102414	914773	0.17	126	0.886	914773	126	0.170209195456516	arc_well_mda231	0.0156695688062267
MDA231-9x-cell1503_S1503_R1_001	1317504	1094564	0.17	166	0.969	1094564	166	0.169213907509958	arc_well_mda231	0.00367193248315855
MDA231-9x-cell1504_S1504_R1_001	954610	834936	0.13	110	0.921	834936	110	0.125364284891212	arc_well_mda231	0.0131978394171576
MDA231-9x-cell1505_S1505_R1_001	1001448	878981	0.12	130	0.86	878981	130	0.122289924189773	arc_well_mda231	0.0125309637108255
MDA231-9x-cell1509_S1509_R1_001	803298	670202	0.17	96	0.957	670202	96	0.165686955525845	arc_well_mda231	0.0129383391068925
MDA231-9x-cell1514_S1514_R1_001	1219861	1013771	0.17	144	0.837	1013771	144	0.168945478214321	arc_well_mda231	0.0170407774009448
MDA231-9x-cell1516_S1516_R1_001	820425	680621	0.17	104	0.844	680621	104	0.170404363592041	arc_well_mda231	0.00375475826894915
MDA231-9x-cell1518_S1518_R1_001	1174842	956514	0.19	146	0.954	956514	146	0.185836052847957	arc_well_mda231	0.00395124024208498
MDA231-9x-cell152_S152_R1_001	593868	510563	0.14	76	0.939	510563	76	0.140275280028559	arc_well_mda231	0.00494151935029828
MDA231-9x-cell1520_S1520_R1_001	991190	839966	0.15	118	0.904	839966	118	0.152568125182861	arc_well_mda231	0.0156082261701816
MDA231-9x-cell1525_S1525_R1_001	1123428	933545	0.17	130	0.899	933545	130	0.169021067660767	arc_well_mda231	0.0127337137894898
MDA231-9x-cell1527_S1527_R1_001	981186	817813	0.17	123	0.98	817813	123	0.166505637055563	arc_well_mda231	0.00301979207665384
MDA231-9x-cell1538_S1538_R1_001	707290	577571	0.18	84	0.933	577571	84	0.1834028474883	arc_well_mda231	0.00309113897139597
MDA231-9x-cell1539_S1539_R1_001	1240560	1034084	0.17	154	0.914	1034084	154	0.166437737795834	arc_well_mda231	0.0120750906332758
MDA231-9x-cell1542_S1542_R1_001	997492	822508	0.18	122	0.974	822508	122	0.175423963299956	arc_well_mda231	0.00318100375463671
MDA231-9x-cell155_S155_R1_001	563370	475834	0.16	70	0.89	475834	70	0.155379235671051	arc_well_mda231	0.0126780092587574
MDA231-9x-cell1550_S1550_R1_001	980703	804634	0.18	122	0.918	804634	122	0.179533457122085	arc_well_mda231	0.0033534229873265
MDA231-9x-cell1554_S1554_R1_001	899362	750244	0.17	114	0.979	750244	114	0.165804203424205	arc_well_mda231	0.0039878206135515
MDA231-9x-cell1556_S1556_R1_001	1569175	1316878	0.16	196	0.887	1316878	196	0.160783214109325	arc_well_mda231	0.0035959587600294
MDA231-9x-cell156_S156_R1_001	643820	548447	0.15	82	0.898	548447	82	0.148136125003883	arc_well_mda231	0.00489779886366642
MDA231-9x-cell1560_S1560_R1_001	904014	745927	0.17	114	0.837	745927	114	0.174872291800791	arc_well_mda231	0.00425849439817397
MDA231-9x-cell1563_S1563_R1_001	819445	678214	0.17	102	0.932	678214	102	0.172349578068083	arc_well_mda231	0.00513591123759893
MDA231-9x-cell1566_S1566_R1_001	1172934	974196	0.17	148	0.948	974196	148	0.169436643494007	arc_well_mda231	0.00342526120572149
MDA231-9x-cell157_S157_R1_001	861287	728467	0.15	110	0.978	728467	110	0.154211081788068	arc_well_mda231	0.00433661251322822
MDA231-9x-cell1576_S1576_R1_001	1279725	1061515	0.17	156	0.948	1061515	156	0.170513196194495	arc_well_mda231	0.00506249329038137
MDA231-9x-cell1585_S1585_R1_001	1273268	1040759	0.18	158	0.881	1040759	158	0.182608060518288	arc_well_mda231	0.00291207878301542
MDA231-9x-cell1590_S1590_R1_001	915591	746887	0.18	114	0.966	746887	114	0.18425694442169	arc_well_mda231	0.00305272661562734
MDA231-9x-cell1592_S1592_R1_001	803583	682003	0.15	96	0.83	682003	96	0.151297376873329	arc_well_mda231	0.0213591197401615
MDA231-9x-cell1594_S1594_R1_001	1531015	1271444	0.17	194	0.94	1271444	194	0.169541774574384	arc_well_mda231	0.00391907868648188
MDA231-9x-cell16_S16_R1_001	1560063	1308317	0.16	202	0.953	1308317	202	0.161369124195625	arc_well_mda231	0.00300282626159339
MDA231-9x-cell1605_S1605_R1_001	938563	771682	0.18	116	0.967	771682	116	0.177804793071962	arc_well_mda231	0.00250826579937968
MDA231-9x-cell1609_S1609_R1_001	1182409	960824	0.19	132	0.901	960824	132	0.187401313758606	arc_well_mda231	0.0153250900208167
MDA231-9x-cell1612_S1612_R1_001	702226	574915	0.18	86	0.987	574915	86	0.181296334798199	arc_well_mda231	0.00360854486818987
MDA231-9x-cell1618_S1618_R1_001	983274	825772	0.16	112	0.905	825772	112	0.160181190593873	arc_well_mda231	0.0142887405915239
MDA231-9x-cell1622_S1622_R1_001	892040	731868	0.18	110	0.97	731868	110	0.179556970539438	arc_well_mda231	0.00264475038650735
MDA231-9x-cell1623_S1623_R1_001	1327100	1090074	0.18	166	0.908	1090074	166	0.178604475924949	arc_well_mda231	0.00304010798724671
MDA231-9x-cell1626_S1626_R1_001	1262024	1048487	0.17	156	0.911	1048487	156	0.169202012006111	arc_well_mda231	0.00965794381694834
MDA231-9x-cell1632_S1632_R1_001	1037543	858817	0.17	128	0.981	858817	128	0.172258884692008	arc_well_mda231	0.00325104262664592
MDA231-9x-cell1635_S1635_R1_001	836831	687709	0.18	102	0.987	687709	102	0.178198465401019	arc_well_mda231	0.00364567801378227
MDA231-9x-cell1636_S1636_R1_001	1428976	1165042	0.18	172	0.935	1165042	172	0.184701492537313	arc_well_mda231	0.00286376611950984
MDA231-9x-cell1637_S1637_R1_001	1085488	889503	0.18	136	0.992	889503	136	0.180550130448241	arc_well_mda231	0.003649945156427
MDA231-9x-cell1638_S1638_R1_001	833641	686998	0.18	102	0.942	686998	102	0.175906655262877	arc_well_mda231	0.00465371710005204
MDA231-9x-cell165_S165_R1_001	577427	490767	0.15	66	0.883	490767	66	0.150079577158671	arc_well_mda231	0.015992444638748
MDA231-9x-cell1657_S1657_R1_001	1651012	1364569	0.17	206	0.855	1364569	206	0.173495407665117	arc_well_mda231	0.00370031319136332
MDA231-9x-cell1659_S1659_R1_001	1830691	1495800	0.18	226	0.912	1495800	226	0.182931472323838	arc_well_mda231	0.00377271873890889
MDA231-9x-cell1662_S1662_R1_001	1654186	1354547	0.18	204	0.985	1354547	204	0.18113984763503	arc_well_mda231	0.00349936293124064
MDA231-9x-cell1663_S1663_R1_001	1099545	927269	0.16	134	0.879	927269	134	0.15667935373268	arc_well_mda231	0.0100807629674823
MDA231-9x-cell1664_S1664_R1_001	771005	657226	0.15	100	0.942	657226	100	0.147572324433694	arc_well_mda231	0.00349661910143053
MDA231-9x-cell1674_S1674_R1_001	1393208	1151023	0.17	166	0.885	1151023	166	0.173832622264586	arc_well_mda231	0.0137684894238788
MDA231-9x-cell1678_S1678_R1_001	1023010	842580	0.18	124	0.917	842580	124	0.176371687471286	arc_well_mda231	0.00275189731522083
MDA231-9x-cell1680_S1680_R1_001	1545771	1262505	0.18	186	0.878	1262505	186	0.183252241114628	arc_well_mda231	0.00744857802567321
MDA231-9x-cell1684_S1684_R1_001	1286078	1072878	0.17	158	0.915	1072878	158	0.165775326224381	arc_well_mda231	0.00833042658553903
MDA231-9x-cell1687_S1687_R1_001	333773	282578	0.15	38	0.899	282578	38	0.153382688234219	arc_well_mda231	0.00393924018520748
MDA231-9x-cell1689_S1689_R1_001	690329	581025	0.16	86	0.983	581025	86	0.158336097715727	arc_well_mda231	0.00423773657716108
MDA231-9x-cell1696_S1696_R1_001	1291327	1067838	0.17	154	0.904	1067838	154	0.173069253566293	arc_well_mda231	0.0122780429662086
MDA231-9x-cell1703_S1703_R1_001	1017706	840209	0.17	126	0.953	840209	126	0.174408915737944	arc_well_mda231	0.00373991174676773
MDA231-9x-cell1709_S1709_R1_001	368278	309524	0.16	42	0.97	309524	42	0.159537088829634	arc_well_mda231	0.00908471335399107
MDA231-9x-cell1712_S1712_R1_001	276279	231844	0.16	30	0.9	231844	30	0.160833794823349	arc_well_mda231	0.0150799891636613
MDA231-9x-cell172_S172_R1_001	1130284	937396	0.17	142	0.953	937396	142	0.170654454986534	arc_well_mda231	0.00361174318197624
MDA231-9x-cell1720_S1720_R1_001	740302	610792	0.17	90	0.99	610792	90	0.17494211821662	arc_well_mda231	0.00507096332290392
MDA231-9x-cell1722_S1722_R1_001	529267	437041	0.17	64	0.956	437041	64	0.174252314994133	arc_well_mda231	0.00600820683258414
MDA231-9x-cell1724_S1724_R1_001	1166531	974735	0.16	148	0.963	974735	148	0.164415690624595	arc_well_mda231	0.00382839176207832
MDA231-9x-cell1726_S1726_R1_001	835215	698238	0.16	104	0.977	698238	104	0.164002083295918	arc_well_mda231	0.00469828932095983
MDA231-9x-cell1727_S1727_R1_001	1050654	883900	0.16	124	0.825	883900	124	0.158714476887729	arc_well_mda231	0.0111620497856703
MDA231-9x-cell1728_S1728_R1_001	928256	763994	0.18	114	0.959	763994	114	0.1769576496139	arc_well_mda231	0.00445201685735879
MDA231-9x-cell173_S173_R1_001	489838	422022	0.14	60	0.829	422022	60	0.138445771867434	arc_well_mda231	0.0172629648285859
MDA231-9x-cell1739_S1739_R1_001	1506847	1237633	0.18	182	0.946	1237633	182	0.178660474487456	arc_well_mda231	0.0075107833040334
MDA231-9x-cell174_S174_R1_001	896207	756236	0.16	114	0.824	756236	114	0.15618155180667	arc_well_mda231	0.00343299002145374
MDA231-9x-cell1748_S1748_R1_001	1291049	1067680	0.17	148	0.895	1067680	148	0.173013572683918	arc_well_mda231	0.0153685430430142
MDA231-9x-cell1749_S1749_R1_001	1370645	1144996	0.16	174	0.883	1144996	174	0.16462979108376	arc_well_mda231	0.00687712685160539
MDA231-9x-cell176_S176_R1_001	801481	670123	0.16	102	0.953	670123	102	0.163894091063918	arc_well_mda231	0.0063399361119177
MDA231-9x-cell1764_S1764_R1_001	872120	738524	0.15	106	0.855	738524	106	0.153185341466771	arc_well_mda231	0.00402112994395896
MDA231-9x-cell1767_S1767_R1_001	939648	782695	0.17	116	0.951	782695	116	0.167033825432502	arc_well_mda231	0.00251237862271155
MDA231-9x-cell1768_S1768_R1_001	967545	800554	0.17	116	0.935	800554	116	0.172592489238227	arc_well_mda231	0.00223834062335841
MDA231-9x-cell1774_S1774_R1_001	869645	737444	0.15	108	0.918	737444	108	0.152017202421678	arc_well_mda231	0.004086547296928
MDA231-9x-cell1775_S1775_R1_001	843599	709806	0.16	102	0.943	709806	102	0.158597864625254	arc_well_mda231	0.0140004008343141
MDA231-9x-cell1779_S1779_R1_001	1020072	859797	0.16	118	0.91	859797	118	0.157121262028563	arc_well_mda231	0.0148316898713902
MDA231-9x-cell178_S178_R1_001	606060	509132	0.16	76	0.986	509132	76	0.15993135993136	arc_well_mda231	0.00304014377014199
MDA231-9x-cell1783_S1783_R1_001	1318315	1103338	0.16	168	0.953	1103338	168	0.163069524354953	arc_well_mda231	0.00431615155628504
MDA231-9x-cell1789_S1789_R1_001	887759	749486	0.16	102	0.919	749486	102	0.155755109213199	arc_well_mda231	0.0161331634224489
MDA231-9x-cell1791_S1791_R1_001	802024	671635	0.16	98	0.976	671635	98	0.162574935413404	arc_well_mda231	0.0103806799760857
