"","timepoint","cell_num","mpd","sample"
"133","primary","75","414.575542139864","nki26_p6"
"134","primary","100","435.412345295379","nki26_p6"
"135","primary","125","474.394146508487","nki26_p6"
"136","primary","150","489.536532563731","nki26_p6"
"137","primary","175","507.430792281452","nki26_p6"
"138","primary","200","517.439586755822","nki26_p6"
"139","primary","225","528.465437299566","nki26_p6"
"140","primary","250","534.950771131915","nki26_p6"
"141","primary","275","545.71963303849","nki26_p6"
"142","primary","300","561.437875410176","nki26_p6"
"143","primary","325","554.130414657516","nki26_p6"
"144","primary","350","569.496917492846","nki26_p6"
"145","primary","375","569.379123760971","nki26_p6"
"146","primary","400","581.711148152441","nki26_p6"
"147","primary","425","573.587647581637","nki26_p6"
"148","recurrence","50","657.492775717784","nki26_p6"
"149","recurrence","75","695.078028527577","nki26_p6"
"150","recurrence","100","734.332089986234","nki26_p6"
"151","recurrence","125","762.591353916625","nki26_p6"
"152","recurrence","150","780.45837698603","nki26_p6"
"153","recurrence","175","784.423105450073","nki26_p6"
"154","recurrence","200","807.463095539144","nki26_p6"
"155","recurrence","225","810.480318046686","nki26_p6"
"156","recurrence","250","822.221190174281","nki26_p6"
"157","recurrence","275","822.558922787946","nki26_p6"
"158","recurrence","300","832.888522637514","nki26_p6"
"159","recurrence","325","854.18505221341","nki26_p6"
"160","recurrence","350","866.800713050017","nki26_p6"
"161","recurrence","375","865.662968350516","nki26_p6"
"162","recurrence","400","870.897044767706","nki26_p6"
"163","recurrence","425","884.453334872085","nki26_p6"
"164","recurrence","450","884.029420511868","nki26_p6"
"165","recurrence","475","876.780576096523","nki26_p6"
"166","recurrence","500","887.416222849388","nki26_p6"
"167","recurrence","525","892.60385220208","nki26_p6"
"168","recurrence","550","912.810754442659","nki26_p6"
"169","recurrence","575","898.77030497818","nki26_p6"
"170","recurrence","600","912.833412115714","nki26_p6"
"171","recurrence","625","908.6236508286","nki26_p6"
"172","recurrence","650","914.466782427936","nki26_p6"
"173","recurrence","675","919.356671241829","nki26_p6"
"174","recurrence","700","916.600396658298","nki26_p6"
"175","recurrence","725","937.268824140651","nki26_p6"
"176","recurrence","750","932.48628264105","nki26_p6"
"177","recurrence","775","934.231922264006","nki26_p6"
"178","recurrence","800","927.195317899426","nki26_p6"
"179","recurrence","825","944.798242168475","nki26_p6"
"180","recurrence","850","937.50314440127","nki26_p6"
"181","recurrence","875","951.962879218463","nki26_p6"
"182","recurrence","900","952.392388480229","nki26_p6"
"183","recurrence","925","949.394810991925","nki26_p6"
"184","primary","50","705.067318038843","nki28_p7"
"185","primary","75","739.239782181766","nki28_p7"
"186","primary","100","768.068374514315","nki28_p7"
"187","primary","125","800.510557616677","nki28_p7"
"188","primary","150","807.964074642902","nki28_p7"
"189","primary","175","832.196882158721","nki28_p7"
"190","primary","200","847.077330694685","nki28_p7"
"191","primary","225","852.061771157902","nki28_p7"
"192","primary","250","876.058360189838","nki28_p7"
"193","primary","275","880.688218797056","nki28_p7"
"194","primary","300","898.597639981047","nki28_p7"
"195","primary","325","890.986502268945","nki28_p7"
"196","primary","350","901.341229236192","nki28_p7"
"197","primary","375","917.118472156227","nki28_p7"
"198","primary","400","923.487713353842","nki28_p7"
"199","primary","425","928.787744403481","nki28_p7"
"200","primary","450","928.948921186899","nki28_p7"
"201","primary","475","945.971239668981","nki28_p7"
"202","primary","500","936.183686178015","nki28_p7"
"203","primary","525","944.97285806643","nki28_p7"
"204","recurrence","50","626.21300956478","nki28_p7"
"205","recurrence","75","677.520580768815","nki28_p7"
"206","recurrence","100","716.875653429724","nki28_p7"
"207","recurrence","125","745.604377789818","nki28_p7"
"208","recurrence","150","760.171526481666","nki28_p7"
"209","recurrence","175","787.797887742869","nki28_p7"
"210","recurrence","200","807.403818830049","nki28_p7"
"211","recurrence","225","813.4259266492","nki28_p7"
"212","recurrence","250","819.706198792711","nki28_p7"
"213","recurrence","275","835.988416463453","nki28_p7"
"214","recurrence","300","848.498217579384","nki28_p7"
"215","recurrence","325","870.337281708814","nki28_p7"
"216","recurrence","350","875.947495351927","nki28_p7"
"217","recurrence","375","871.999415917078","nki28_p7"
"218","recurrence","400","880.503631562479","nki28_p7"
"219","recurrence","425","886.439802131987","nki28_p7"
"220","recurrence","450","893.293455023564","nki28_p7"
"221","recurrence","475","897.668451153219","nki28_p7"
"222","recurrence","500","898.253747275891","nki28_p7"
"223","recurrence","525","901.281263237052","nki28_p7"
"224","recurrence","550","904.13478759147","nki28_p7"
"225","recurrence","575","909.841424154995","nki28_p7"
"226","recurrence","600","911.663641503182","nki28_p7"
"227","recurrence","625","917.48517711571","nki28_p7"
"228","recurrence","650","940.258389859713","nki28_p7"
"229","recurrence","675","934.278358855894","nki28_p7"
"230","recurrence","700","950.679557433533","nki28_p7"
"231","primary","50","277.584847061901","nki19_p8"
