"","cell","correlation","n_reads"
"763","MDA231.9x.cell2557_S2557_R1_001",0.974989149331553,"750k"
"764","MDA231.9x.cell2558_S2558_R1_001",0.9682318876361,"750k"
"765","MDA231.9x.cell257_S257_R1_001",0.979815268393852,"750k"
"766","MDA231.9x.cell2582_S2582_R1_001",0.935095894877818,"750k"
"767","MDA231.9x.cell2589_S2589_R1_001",0.975472246282435,"750k"
"768","MDA231.9x.cell2596_S2596_R1_001",0.929906061688051,"750k"
"769","MDA231.9x.cell2597_S2597_R1_001",0.998096827013339,"750k"
"770","MDA231.9x.cell2598_S2598_R1_001",0.946155587325288,"750k"
"771","MDA231.9x.cell2600_S2600_R1_001",0.949300256516012,"750k"
"772","MDA231.9x.cell2605_S2605_R1_001",0.952590734759939,"750k"
"773","MDA231.9x.cell2617_S2617_R1_001",0.973822984382117,"750k"
"774","MDA231.9x.cell2622_S2622_R1_001",0.957151479359935,"750k"
"775","MDA231.9x.cell2623_S2623_R1_001",0.984325778619854,"750k"
"776","MDA231.9x.cell2624_S2624_R1_001",0.954400359422858,"750k"
"777","MDA231.9x.cell2628_S2628_R1_001",0.936425449935749,"750k"
"778","MDA231.9x.cell2631_S2631_R1_001",0.970068624262911,"750k"
"779","MDA231.9x.cell2640_S2640_R1_001",0.989589376926469,"750k"
"780","MDA231.9x.cell2644_S2644_R1_001",0.987823795311101,"750k"
"781","MDA231.9x.cell2646_S2646_R1_001",0.943380157944059,"750k"
"782","MDA231.9x.cell2649_S2649_R1_001",0.946555003563485,"750k"
"783","MDA231.9x.cell2660_S2660_R1_001",0.947858454047134,"750k"
"784","MDA231.9x.cell2667_S2667_R1_001",0.946382291314432,"750k"
"785","MDA231.9x.cell2668_S2668_R1_001",0.956562485747581,"750k"
"786","MDA231.9x.cell2670_S2670_R1_001",0.935813681238108,"750k"
"787","MDA231.9x.cell2688_S2688_R1_001",0.999579942686609,"750k"
"788","MDA231.9x.cell2692_S2692_R1_001",0.948963422874098,"750k"
"789","MDA231.9x.cell2699_S2699_R1_001",0.977982326063004,"750k"
"790","MDA231.9x.cell2704_S2704_R1_001",0.979591595401709,"750k"
"791","MDA231.9x.cell2706_S2706_R1_001",0.990812707409173,"750k"
"792","MDA231.9x.cell2717_S2717_R1_001",0.962148494331706,"750k"
"793","MDA231.9x.cell2719_S2719_R1_001",0.927133493881083,"750k"
"794","MDA231.9x.cell2724_S2724_R1_001",0.937661746556009,"750k"
"795","MDA231.9x.cell2740_S2740_R1_001",0.941485450953808,"750k"
"796","MDA231.9x.cell2747_S2747_R1_001",0.991288773419647,"750k"
"797","MDA231.9x.cell275_S275_R1_001",0.983829793682283,"750k"
"798","MDA231.9x.cell2750_S2750_R1_001",0.963633905828325,"750k"
"799","MDA231.9x.cell2751_S2751_R1_001",0.963986479406054,"750k"
"800","MDA231.9x.cell2754_S2754_R1_001",0.941501671641919,"750k"
"801","MDA231.9x.cell2756_S2756_R1_001",0.957430145812347,"750k"
"802","MDA231.9x.cell2757_S2757_R1_001",0.990166341204834,"750k"
"803","MDA231.9x.cell2758_S2758_R1_001",0.956585826016092,"750k"
"804","MDA231.9x.cell2761_S2761_R1_001",0.95675333130927,"750k"
"805","MDA231.9x.cell2777_S2777_R1_001",0.97494147090233,"750k"
"806","MDA231.9x.cell2778_S2778_R1_001",0.986419512616908,"750k"
"807","MDA231.9x.cell2783_S2783_R1_001",0.980853572502868,"750k"
"808","MDA231.9x.cell2794_S2794_R1_001",0.955408720315713,"750k"
"809","MDA231.9x.cell2805_S2805_R1_001",0.977343518227492,"750k"
"810","MDA231.9x.cell2818_S2818_R1_001",0.942511455780668,"750k"
"811","MDA231.9x.cell2828_S2828_R1_001",0.978479395286635,"750k"
"812","MDA231.9x.cell2847_S2847_R1_001",0.996678666162178,"750k"
"813","MDA231.9x.cell2848_S2848_R1_001",0.993989147576673,"750k"
"814","MDA231.9x.cell2850_S2850_R1_001",0.975623640643161,"750k"
"815","MDA231.9x.cell2860_S2860_R1_001",0.959788962088029,"750k"
"816","MDA231.9x.cell2862_S2862_R1_001",0.941907997431797,"750k"
"817","MDA231.9x.cell2874_S2874_R1_001",0.99840334122483,"750k"
"818","MDA231.9x.cell2895_S2895_R1_001",0.966333272716806,"750k"
"819","MDA231.9x.cell2897_S2897_R1_001",0.948301710146939,"750k"
"820","MDA231.9x.cell2915_S2915_R1_001",0.970193663533435,"750k"
"821","MDA231.9x.cell2921_S2921_R1_001",0.929215902600114,"750k"
"822","MDA231.9x.cell2923_S2923_R1_001",0.99441232267248,"750k"
"823","MDA231.9x.cell2928_S2928_R1_001",0.997783339811785,"750k"
"824","MDA231.9x.cell2933_S2933_R1_001",0.971231292818696,"750k"
"825","MDA231.9x.cell294_S294_R1_001",0.961377242127625,"750k"
"826","MDA231.9x.cell2947_S2947_R1_001",0.956342438826833,"750k"
"827","MDA231.9x.cell2951_S2951_R1_001",0.983863539401602,"750k"
"828","MDA231.9x.cell2956_S2956_R1_001",0.998471916651874,"750k"
"829","MDA231.9x.cell2957_S2957_R1_001",0.998047165399579,"750k"
"830","MDA231.9x.cell2958_S2958_R1_001",0.963064625753964,"750k"
"831","MDA231.9x.cell2959_S2959_R1_001",0.992834057995804,"750k"
"832","MDA231.9x.cell2965_S2965_R1_001",0.937375551198708,"750k"
"833","MDA231.9x.cell2976_S2976_R1_001",0.991247630700385,"750k"
"834","MDA231.9x.cell2977_S2977_R1_001",0.960159855117922,"750k"
"835","MDA231.9x.cell2987_S2987_R1_001",0.97284379881565,"750k"
"836","MDA231.9x.cell2988_S2988_R1_001",0.981818960202627,"750k"
"837","MDA231.9x.cell3_S3_R1_001",0.973837947312316,"750k"
"838","MDA231.9x.cell300_S300_R1_001",0.978179593338035,"750k"
"839","MDA231.9x.cell3013_S3013_R1_001",0.961428451415575,"750k"
"840","MDA231.9x.cell3019_S3019_R1_001",0.967974261082814,"750k"
"841","MDA231.9x.cell302_S302_R1_001",0.99925846752076,"750k"
"842","MDA231.9x.cell3025_S3025_R1_001",0.956117981705038,"750k"
"843","MDA231.9x.cell3027_S3027_R1_001",0.971335201035105,"750k"
"844","MDA231.9x.cell3029_S3029_R1_001",0.948495400584364,"750k"
"845","MDA231.9x.cell3036_S3036_R1_001",0.969679977908231,"750k"
"846","MDA231.9x.cell3041_S3041_R1_001",0.947279093875137,"750k"
"847","MDA231.9x.cell3045_S3045_R1_001",0.997802864881043,"750k"
"848","MDA231.9x.cell3057_S3057_R1_001",0.968657568685934,"750k"
"849","MDA231.9x.cell306_S306_R1_001",0.940356359474188,"750k"
"850","MDA231.9x.cell3064_S3064_R1_001",0.922436905008941,"750k"
"851","MDA231.9x.cell3066_S3066_R1_001",0.952577418636941,"750k"
"852","MDA231.9x.cell309_S309_R1_001",0.970011373121679,"750k"
"853","MDA231.9x.cell3095_S3095_R1_001",0.931199673977992,"750k"
"854","MDA231.9x.cell3101_S3101_R1_001",0.950739766712894,"750k"
"855","MDA231.9x.cell3104_S3104_R1_001",0.942652085022425,"750k"
"856","MDA231.9x.cell3105_S3105_R1_001",0.961116293250054,"750k"
"857","MDA231.9x.cell3110_S3110_R1_001",0.983716456609022,"750k"
"858","MDA231.9x.cell3117_S3117_R1_001",0.998480220589795,"750k"
"859","MDA231.9x.cell315_S315_R1_001",0.966674327904573,"750k"
"860","MDA231.9x.cell3150_S3150_R1_001",0.981126080673799,"750k"
"861","MDA231.9x.cell3151_S3151_R1_001",0.990562779566147,"750k"
"862","MDA231.9x.cell3152_S3152_R1_001",0.963455032398758,"750k"
"863","MDA231.9x.cell3177_S3177_R1_001",0.932908519372371,"750k"
"864","MDA231.9x.cell3178_S3178_R1_001",0.98647687142644,"750k"
"865","MDA231.9x.cell3188_S3188_R1_001",0.989418588123075,"750k"
"866","MDA231.9x.cell3189_S3189_R1_001",0.929365651565046,"750k"
"867","MDA231.9x.cell3190_S3190_R1_001",0.984562086510631,"750k"
"868","MDA231.9x.cell3191_S3191_R1_001",0.952597428367836,"750k"
"869","MDA231.9x.cell3198_S3198_R1_001",0.985637015679066,"750k"
"870","MDA231.9x.cell3206_S3206_R1_001",0.938490227486844,"750k"
"871","MDA231.9x.cell3209_S3209_R1_001",0.979151554568813,"750k"
"872","MDA231.9x.cell3216_S3216_R1_001",0.999210199865816,"750k"
"873","MDA231.9x.cell3235_S3235_R1_001",0.99720307805846,"750k"
"874","MDA231.9x.cell3244_S3244_R1_001",0.969018934897163,"750k"
"875","MDA231.9x.cell3255_S3255_R1_001",0.97736446506505,"750k"
"876","MDA231.9x.cell3256_S3256_R1_001",0.997623523886137,"750k"
"877","MDA231.9x.cell3258_S3258_R1_001",0.955697551805868,"750k"
"878","MDA231.9x.cell3265_S3265_R1_001",0.952700007596241,"750k"
"879","MDA231.9x.cell3267_S3267_R1_001",0.982036694092979,"750k"
"880","MDA231.9x.cell3275_S3275_R1_001",0.997036732734033,"750k"
"881","MDA231.9x.cell3279_S3279_R1_001",0.911131364628112,"750k"
"882","MDA231.9x.cell3281_S3281_R1_001",0.98211944285278,"750k"
"883","MDA231.9x.cell3317_S3317_R1_001",0.954990230540762,"750k"
"884","MDA231.9x.cell3324_S3324_R1_001",0.998477220847498,"750k"
"885","MDA231.9x.cell3335_S3335_R1_001",0.983066843725646,"750k"
"886","MDA231.9x.cell3342_S3342_R1_001",0.977671780887177,"750k"
"887","MDA231.9x.cell3349_S3349_R1_001",0.969830105228569,"750k"
"888","MDA231.9x.cell3350_S3350_R1_001",0.930479341143181,"750k"
"889","MDA231.9x.cell3354_S3354_R1_001",0.975605364909595,"750k"
"890","MDA231.9x.cell3358_S3358_R1_001",0.970403913403312,"750k"
"891","MDA231.9x.cell3365_S3365_R1_001",0.959881731675908,"750k"
"892","MDA231.9x.cell337_S337_R1_001",0.965278151621706,"750k"
"893","MDA231.9x.cell3379_S3379_R1_001",0.968455629759468,"750k"
"894","MDA231.9x.cell3387_S3387_R1_001",0.924822219225834,"750k"
"895","MDA231.9x.cell3395_S3395_R1_001",0.970197604479853,"750k"
"896","MDA231.9x.cell3401_S3401_R1_001",0.94107464565092,"750k"
"897","MDA231.9x.cell3404_S3404_R1_001",0.942435558327749,"750k"
"898","MDA231.9x.cell3406_S3406_R1_001",0.988732216796203,"750k"
"899","MDA231.9x.cell3419_S3419_R1_001",0.996687847237573,"750k"
"900","MDA231.9x.cell3422_S3422_R1_001",0.994194940811175,"750k"
"901","MDA231.9x.cell3427_S3427_R1_001",0.996738128991935,"750k"
"902","MDA231.9x.cell3428_S3428_R1_001",0.986780854380804,"750k"
"903","MDA231.9x.cell3429_S3429_R1_001",0.946204678824316,"750k"
"904","MDA231.9x.cell3436_S3436_R1_001",0.934591851271607,"750k"
"905","MDA231.9x.cell3441_S3441_R1_001",0.964779145771692,"750k"
"906","MDA231.9x.cell3443_S3443_R1_001",0.967943706314021,"750k"
"907","MDA231.9x.cell3459_S3459_R1_001",0.998720194310175,"750k"
"908","MDA231.9x.cell3467_S3467_R1_001",0.985430357005388,"750k"
"909","MDA231.9x.cell3472_S3472_R1_001",0.95268738939437,"750k"
"910","MDA231.9x.cell3478_S3478_R1_001",0.966671480068251,"750k"
"911","MDA231.9x.cell3485_S3485_R1_001",0.964872977004599,"750k"
"912","MDA231.9x.cell3494_S3494_R1_001",0.988036432123449,"750k"
"913","MDA231.9x.cell3504_S3504_R1_001",0.998113419847704,"750k"
"914","MDA231.9x.cell3505_S3505_R1_001",0.972647664178248,"750k"
"915","MDA231.9x.cell3508_S3508_R1_001",0.937601244523459,"750k"
"916","MDA231.9x.cell3509_S3509_R1_001",0.96793039057379,"750k"
"917","MDA231.9x.cell3510_S3510_R1_001",0.973314744272783,"750k"
"918","MDA231.9x.cell3543_S3543_R1_001",0.9841691543044,"750k"
"919","MDA231.9x.cell3549_S3549_R1_001",0.996220859083303,"750k"
"920","MDA231.9x.cell3550_S3550_R1_001",0.989641620913658,"750k"
"921","MDA231.9x.cell3553_S3553_R1_001",0.94122108949646,"750k"
"922","MDA231.9x.cell3554_S3554_R1_001",0.967558291548244,"750k"
"923","MDA231.9x.cell3555_S3555_R1_001",0.997140816188647,"750k"
"924","MDA231.9x.cell3558_S3558_R1_001",0.982063387022088,"750k"
"925","MDA231.9x.cell3564_S3564_R1_001",0.989100774876247,"750k"
"926","MDA231.9x.cell3573_S3573_R1_001",0.990482556280767,"750k"
"927","MDA231.9x.cell3574_S3574_R1_001",0.92764596108488,"750k"
"928","MDA231.9x.cell3579_S3579_R1_001",0.997362110299402,"750k"
"929","MDA231.9x.cell3584_S3584_R1_001",0.961955996340837,"750k"
"930","MDA231.9x.cell3586_S3586_R1_001",0.961129155077207,"750k"
"931","MDA231.9x.cell3601_S3601_R1_001",0.968972211752318,"750k"
"932","MDA231.9x.cell3606_S3606_R1_001",0.963401093197106,"750k"
"933","MDA231.9x.cell361_S361_R1_001",0.94319735759166,"750k"
"934","MDA231.9x.cell3621_S3621_R1_001",0.949331451351285,"750k"
"935","MDA231.9x.cell3624_S3624_R1_001",0.988754487247007,"750k"
"936","MDA231.9x.cell3626_S3626_R1_001",0.957201796095229,"750k"
"937","MDA231.9x.cell3627_S3627_R1_001",0.927974787704446,"750k"
"938","MDA231.9x.cell3628_S3628_R1_001",0.947971044139212,"750k"
"939","MDA231.9x.cell3635_S3635_R1_001",0.951853763369012,"750k"
"940","MDA231.9x.cell3637_S3637_R1_001",0.933026892200556,"750k"
"941","MDA231.9x.cell3638_S3638_R1_001",0.950776281834347,"750k"
"942","MDA231.9x.cell3640_S3640_R1_001",0.996470397656417,"750k"
"943","MDA231.9x.cell3642_S3642_R1_001",0.999690958486895,"750k"
"944","MDA231.9x.cell3645_S3645_R1_001",0.965430318009244,"750k"
"945","MDA231.9x.cell3646_S3646_R1_001",0.976799581046667,"750k"
"946","MDA231.9x.cell3647_S3647_R1_001",0.997090094968352,"750k"
"947","MDA231.9x.cell3649_S3649_R1_001",0.969672505433813,"750k"
"948","MDA231.9x.cell365_S365_R1_001",0.95702567578279,"750k"
"949","MDA231.9x.cell3652_S3652_R1_001",0.998717060438251,"750k"
"950","MDA231.9x.cell3659_S3659_R1_001",0.945258835947756,"750k"
"951","MDA231.9x.cell3675_S3675_R1_001",0.971177918539882,"750k"
"952","MDA231.9x.cell3682_S3682_R1_001",0.987889932471622,"750k"
"953","MDA231.9x.cell3686_S3686_R1_001",0.964864469450868,"750k"
"954","MDA231.9x.cell3691_S3691_R1_001",0.999451094280233,"750k"
"955","MDA231.9x.cell3696_S3696_R1_001",0.995365104468879,"750k"
"956","MDA231.9x.cell3702_S3702_R1_001",0.997821778627464,"750k"
"957","MDA231.9x.cell3706_S3706_R1_001",0.976047023449966,"750k"
"958","MDA231.9x.cell3707_S3707_R1_001",0.965925767257405,"750k"
"959","MDA231.9x.cell371_S371_R1_001",0.933251420684265,"750k"
"960","MDA231.9x.cell3713_S3713_R1_001",0.980023324318045,"750k"
"961","MDA231.9x.cell3717_S3717_R1_001",0.982634723956968,"750k"
"962","MDA231.9x.cell3721_S3721_R1_001",0.996735344346228,"750k"
"963","MDA231.9x.cell3738_S3738_R1_001",0.993105108155628,"750k"
"964","MDA231.9x.cell3744_S3744_R1_001",0.990974396368038,"750k"
"965","MDA231.9x.cell3757_S3757_R1_001",0.974980871644983,"750k"
"966","MDA231.9x.cell3769_S3769_R1_001",0.971904256624482,"750k"
"967","MDA231.9x.cell3779_S3779_R1_001",0.955692139862138,"750k"
"968","MDA231.9x.cell3783_S3783_R1_001",0.990370347512318,"750k"
"969","MDA231.9x.cell3788_S3788_R1_001",0.93685771796718,"750k"
"970","MDA231.9x.cell3791_S3791_R1_001",0.988936590708684,"750k"
"971","MDA231.9x.cell3810_S3810_R1_001",0.981461054790454,"750k"
"972","MDA231.9x.cell3820_S3820_R1_001",0.981207504143237,"750k"
"973","MDA231.9x.cell3827_S3827_R1_001",0.99786810817565,"750k"
"974","MDA231.9x.cell3839_S3839_R1_001",0.97194360575247,"750k"
"975","MDA231.9x.cell3847_S3847_R1_001",0.915913436428896,"750k"
"976","MDA231.9x.cell3856_S3856_R1_001",0.930895357459973,"750k"
"977","MDA231.9x.cell3881_S3881_R1_001",0.998078098770446,"750k"
"978","MDA231.9x.cell3892_S3892_R1_001",0.950323364347789,"750k"
"979","MDA231.9x.cell3894_S3894_R1_001",0.9845359465892,"750k"
"980","MDA231.9x.cell3897_S3897_R1_001",0.964495660969663,"750k"
"981","MDA231.9x.cell3903_S3903_R1_001",0.995569086066159,"750k"
"982","MDA231.9x.cell3904_S3904_R1_001",0.957009381573531,"750k"
"983","MDA231.9x.cell3909_S3909_R1_001",0.995097617512713,"750k"
"984","MDA231.9x.cell391_S391_R1_001",0.964576850590375,"750k"
"985","MDA231.9x.cell3915_S3915_R1_001",0.952768404554215,"750k"
"986","MDA231.9x.cell3918_S3918_R1_001",0.926211506910721,"750k"
"987","MDA231.9x.cell3931_S3931_R1_001",0.989739668962787,"750k"
"988","MDA231.9x.cell3932_S3932_R1_001",0.990316327646838,"750k"
"989","MDA231.9x.cell3934_S3934_R1_001",0.943053959365911,"750k"
"990","MDA231.9x.cell3944_S3944_R1_001",0.958228783274588,"750k"
"991","MDA231.9x.cell3957_S3957_R1_001",0.961882249345607,"750k"
"992","MDA231.9x.cell3977_S3977_R1_001",0.960009126519247,"750k"
"993","MDA231.9x.cell3987_S3987_R1_001",0.973104169182568,"750k"
"994","MDA231.9x.cell3988_S3988_R1_001",0.926266919923878,"750k"
"995","MDA231.9x.cell3994_S3994_R1_001",0.983505752674505,"750k"
"996","MDA231.9x.cell3995_S3995_R1_001",0.954144206986989,"750k"
"997","MDA231.9x.cell3996_S3996_R1_001",0.987136932219276,"750k"
"998","MDA231.9x.cell4000_S4000_R1_001",0.975931015459366,"750k"
"999","MDA231.9x.cell4017_S4017_R1_001",0.934904591750812,"750k"
"1000","MDA231.9x.cell4018_S4018_R1_001",0.957139404919757,"750k"
"1001","MDA231.9x.cell4019_S4019_R1_001",0.99068308655135,"750k"
"1002","MDA231.9x.cell4047_S4047_R1_001",0.953117037200324,"750k"
"1003","MDA231.9x.cell4059_S4059_R1_001",0.997541962991866,"750k"
"1004","MDA231.9x.cell4063_S4063_R1_001",0.972609849573909,"750k"
"1005","MDA231.9x.cell4068_S4068_R1_001",0.980530991227994,"750k"
"1006","MDA231.9x.cell4069_S4069_R1_001",0.919719651472061,"750k"
"1007","MDA231.9x.cell4070_S4070_R1_001",0.988721203175613,"750k"
"1008","MDA231.9x.cell4076_S4076_R1_001",0.962870573729979,"750k"
"1009","MDA231.9x.cell4086_S4086_R1_001",0.960732515605317,"750k"
"1010","MDA231.9x.cell4098_S4098_R1_001",0.995441627107443,"750k"
"1011","MDA231.9x.cell4109_S4109_R1_001",0.908993224107362,"750k"
"1012","MDA231.9x.cell4123_S4123_R1_001",0.996234740432013,"750k"
"1013","MDA231.9x.cell4134_S4134_R1_001",0.963484808552938,"750k"
"1014","MDA231.9x.cell4135_S4135_R1_001",0.94907104361657,"750k"
"1015","MDA231.9x.cell4140_S4140_R1_001",0.920193353356006,"750k"
"1016","MDA231.9x.cell4144_S4144_R1_001",0.919895590947482,"750k"
"1017","MDA231.9x.cell415_S415_R1_001",0.971218307999039,"750k"
"1018","MDA231.9x.cell4177_S4177_R1_001",0.949527316555484,"750k"
"1019","MDA231.9x.cell4183_S4183_R1_001",0.967158550675965,"750k"
"1020","MDA231.9x.cell4200_S4200_R1_001",0.995939183889848,"750k"
"1021","MDA231.9x.cell4201_S4201_R1_001",0.99680122443519,"750k"
"1022","MDA231.9x.cell4203_S4203_R1_001",0.998563482221697,"750k"
"1023","MDA231.9x.cell4207_S4207_R1_001",0.995189972777428,"750k"
"1024","MDA231.9x.cell4213_S4213_R1_001",0.924469123939357,"750k"
"1025","MDA231.9x.cell4218_S4218_R1_001",0.996351558867384,"750k"
"1026","MDA231.9x.cell4220_S4220_R1_001",0.949661102744251,"750k"
"1027","MDA231.9x.cell4227_S4227_R1_001",0.960967971454249,"750k"
"1028","MDA231.9x.cell4237_S4237_R1_001",0.973246817915205,"750k"
"1029","MDA231.9x.cell4243_S4243_R1_001",0.981449534825951,"750k"
"1030","MDA231.9x.cell4244_S4244_R1_001",0.991269249412379,"750k"
"1031","MDA231.9x.cell4248_S4248_R1_001",0.983562276399935,"750k"
"1032","MDA231.9x.cell4279_S4279_R1_001",0.980893909593687,"750k"
"1033","MDA231.9x.cell4280_S4280_R1_001",0.959549445018319,"750k"
"1034","MDA231.9x.cell4281_S4281_R1_001",0.999566564987316,"750k"
"1035","MDA231.9x.cell4291_S4291_R1_001",0.938532092472163,"750k"
"1036","MDA231.9x.cell4317_S4317_R1_001",0.975959506400183,"750k"
"1037","MDA231.9x.cell432_S432_R1_001",0.949587647621098,"750k"
"1038","MDA231.9x.cell4333_S4333_R1_001",0.942245440486735,"750k"
"1039","MDA231.9x.cell4337_S4337_R1_001",0.972538667634209,"750k"
"1040","MDA231.9x.cell4340_S4340_R1_001",0.98024689239577,"750k"
"1041","MDA231.9x.cell4341_S4341_R1_001",0.94606692685136,"750k"
"1042","MDA231.9x.cell4346_S4346_R1_001",0.971843826071609,"750k"
"1043","MDA231.9x.cell4348_S4348_R1_001",0.980406372655928,"750k"
"1044","MDA231.9x.cell435_S435_R1_001",0.962958384114199,"750k"
"1045","MDA231.9x.cell4355_S4355_R1_001",0.987724395406723,"750k"
"1046","MDA231.9x.cell4360_S4360_R1_001",0.950070200248004,"750k"
"1047","MDA231.9x.cell4367_S4367_R1_001",0.947964663027301,"750k"
"1048","MDA231.9x.cell437_S437_R1_001",0.96538732678558,"750k"
"1049","MDA231.9x.cell4376_S4376_R1_001",0.930002208860251,"750k"
"1050","MDA231.9x.cell4380_S4380_R1_001",0.982472488105185,"750k"
"1051","MDA231.9x.cell4398_S4398_R1_001",0.969499244037538,"750k"
"1052","MDA231.9x.cell4430_S4430_R1_001",0.993008942258414,"750k"
"1053","MDA231.9x.cell4433_S4433_R1_001",0.988850215172385,"750k"
"1054","MDA231.9x.cell444_S444_R1_001",0.972370133640088,"750k"
"1055","MDA231.9x.cell4443_S4443_R1_001",0.97295460807572,"750k"
"1056","MDA231.9x.cell445_S445_R1_001",0.936922691622571,"750k"
"1057","MDA231.9x.cell4459_S4459_R1_001",0.96135819627287,"750k"
"1058","MDA231.9x.cell447_S447_R1_001",0.956478431792945,"750k"
"1059","MDA231.9x.cell4470_S4470_R1_001",0.971850678479623,"750k"
"1060","MDA231.9x.cell4471_S4471_R1_001",0.948210983000964,"750k"
"1061","MDA231.9x.cell4480_S4480_R1_001",0.960189365770594,"750k"
"1062","MDA231.9x.cell4492_S4492_R1_001",0.996818269191594,"750k"
"1063","MDA231.9x.cell4494_S4494_R1_001",0.945198027287251,"750k"
"1064","MDA231.9x.cell4501_S4501_R1_001",0.993772357451096,"750k"
"1065","MDA231.9x.cell4509_S4509_R1_001",0.95421915392445,"750k"
"1066","MDA231.9x.cell4512_S4512_R1_001",0.956014441068161,"750k"
"1067","MDA231.9x.cell4513_S4513_R1_001",0.959544444800337,"750k"
"1068","MDA231.9x.cell4522_S4522_R1_001",0.956779130536594,"750k"
"1069","MDA231.9x.cell4530_S4530_R1_001",0.971235185702252,"750k"
"1070","MDA231.9x.cell4552_S4552_R1_001",0.957869977609034,"750k"
"1071","MDA231.9x.cell4556_S4556_R1_001",0.976216706561046,"750k"
"1072","MDA231.9x.cell4561_S4561_R1_001",0.971536953763394,"750k"
"1073","MDA231.9x.cell4566_S4566_R1_001",0.965657276197412,"750k"
"1074","MDA231.9x.cell4577_S4577_R1_001",0.95838155331538,"750k"
"1075","MDA231.9x.cell4580_S4580_R1_001",0.970734535862332,"750k"
"1076","MDA231.9x.cell4584_S4584_R1_001",0.967590873361444,"750k"
"1077","MDA231.9x.cell4590_S4590_R1_001",0.984805580731777,"750k"
"1078","MDA231.9x.cell4604_S4604_R1_001",0.937600036651773,"750k"
"1079","MDA231.9x.cell4652_S4652_R1_001",0.99645792019357,"750k"
"1080","MDA231.9x.cell4654_S4654_R1_001",0.910921158409705,"750k"
"1081","MDA231.9x.cell4667_S4667_R1_001",0.996296500635132,"750k"
"1082","MDA231.9x.cell4668_S4668_R1_001",0.919536009263653,"750k"
"1083","MDA231.9x.cell467_S467_R1_001",0.933126895904277,"750k"
"1084","MDA231.9x.cell4671_S4671_R1_001",0.961522141819885,"750k"
"1085","MDA231.9x.cell4674_S4674_R1_001",0.962713106518332,"750k"
"1086","MDA231.9x.cell4676_S4676_R1_001",0.977943952919623,"750k"
"1087","MDA231.9x.cell4680_S4680_R1_001",0.995815603014378,"750k"
"1088","MDA231.9x.cell4709_S4709_R1_001",0.997994568313965,"750k"
"1089","MDA231.9x.cell4720_S4720_R1_001",0.945223194242645,"750k"
"1090","MDA231.9x.cell4726_S4726_R1_001",0.939923682394746,"750k"
"1091","MDA231.9x.cell4731_S4731_R1_001",0.973436378001147,"750k"
"1092","MDA231.9x.cell4733_S4733_R1_001",0.996730758382426,"750k"
"1093","MDA231.9x.cell4766_S4766_R1_001",0.97407577723512,"750k"
"1094","MDA231.9x.cell4774_S4774_R1_001",0.903784478895865,"750k"
"1095","MDA231.9x.cell4778_S4778_R1_001",0.930724236152995,"750k"
"1096","MDA231.9x.cell4788_S4788_R1_001",0.939396081557345,"750k"
"1097","MDA231.9x.cell4796_S4796_R1_001",0.977338781147911,"750k"
"1098","MDA231.9x.cell4806_S4806_R1_001",0.959969022172004,"750k"
"1099","MDA231.9x.cell4809_S4809_R1_001",0.978578374148304,"750k"
"1100","MDA231.9x.cell4819_S4819_R1_001",0.999069136357355,"750k"
"1101","MDA231.9x.cell483_S483_R1_001",0.952555538115144,"750k"
"1102","MDA231.9x.cell4863_S4863_R1_001",0.974324807330598,"750k"
"1103","MDA231.9x.cell4870_S4870_R1_001",0.953393692631331,"750k"
"1104","MDA231.9x.cell4955_S4955_R1_001",0.951225906888463,"750k"
"1105","MDA231.9x.cell4979_S4979_R1_001",0.965971572561468,"750k"
"1106","MDA231.9x.cell4994_S4994_R1_001",0.971830432509249,"750k"
"1107","MDA231.9x.cell5008_S5008_R1_001",0.97201958745131,"750k"
"1108","MDA231.9x.cell5013_S5013_R1_001",0.938967373270174,"750k"
"1109","MDA231.9x.cell5014_S5014_R1_001",0.977533283313456,"750k"
"1110","MDA231.9x.cell5024_S5024_R1_001",0.989627294007062,"750k"
"1111","MDA231.9x.cell5035_S5035_R1_001",0.944769733482772,"750k"
"1112","MDA231.9x.cell5073_S5073_R1_001",0.998969703836326,"750k"
"1113","MDA231.9x.cell5089_S5089_R1_001",0.988422989938307,"750k"
"1114","MDA231.9x.cell5100_S5100_R1_001",0.990549160181596,"750k"
"1115","MDA231.9x.cell5115_S5115_R1_001",0.974597286121277,"750k"
"1116","MDA231.9x.cell5135_S5135_R1_001",0.978489370380602,"750k"
"1117","MDA231.9x.cell514_S514_R1_001",0.996123248736427,"750k"
"1118","MDA231.9x.cell5150_S5150_R1_001",0.966113349429644,"750k"
"1119","MDA231.9x.cell5156_S5156_R1_001",0.970009424633566,"750k"
"1120","MDA231.9x.cell5170_S5170_R1_001",0.942104712005856,"750k"
"1121","MDA231.9x.cell5171_S5171_R1_001",0.93921694873855,"750k"
"1122","MDA231.9x.cell5180_S5180_R1_001",0.961383947790409,"750k"
"1123","MDA231.9x.cell524_S524_R1_001",0.955901475232301,"750k"
"1124","MDA231.9x.cell531_S531_R1_001",0.929759442512764,"750k"
"1125","MDA231.9x.cell534_S534_R1_001",0.994736318999908,"750k"
"1126","MDA231.9x.cell541_S541_R1_001",0.964689167135995,"750k"
"1127","MDA231.9x.cell545_S545_R1_001",0.943367456690736,"750k"
"1128","MDA231.9x.cell551_S551_R1_001",0.981774906827042,"750k"
