"","cell","correlation","n_reads"
"85","MDA231.9x.cell1724_S1724_R1_001",0.999938719208997,"1M"
"86","MDA231.9x.cell1727_S1727_R1_001",0.985471176482919,"1M"
"87","MDA231.9x.cell1739_S1739_R1_001",0.96646090743008,"1M"
"88","MDA231.9x.cell1748_S1748_R1_001",0.9673331353788,"1M"
"89","MDA231.9x.cell1749_S1749_R1_001",0.971203402476594,"1M"
"90","MDA231.9x.cell1779_S1779_R1_001",0.978773826763063,"1M"
"91","MDA231.9x.cell1783_S1783_R1_001",0.999705269934598,"1M"
"92","MDA231.9x.cell18_S18_R1_001",0.94772313704078,"1M"
"93","MDA231.9x.cell1822_S1822_R1_001",0.969161135180459,"1M"
"94","MDA231.9x.cell1825_S1825_R1_001",0.993094458558561,"1M"
"95","MDA231.9x.cell1833_S1833_R1_001",0.999742834866463,"1M"
"96","MDA231.9x.cell1854_S1854_R1_001",0.994058911322556,"1M"
"97","MDA231.9x.cell1861_S1861_R1_001",0.969253595404647,"1M"
"98","MDA231.9x.cell1879_S1879_R1_001",0.997487490812098,"1M"
"99","MDA231.9x.cell1888_S1888_R1_001",0.998496057996527,"1M"
"100","MDA231.9x.cell1890_S1890_R1_001",0.999964581702923,"1M"
"101","MDA231.9x.cell1899_S1899_R1_001",0.99960748159545,"1M"
"102","MDA231.9x.cell19_S19_R1_001",0.932310666797745,"1M"
"103","MDA231.9x.cell1910_S1910_R1_001",0.988489540968468,"1M"
"104","MDA231.9x.cell1912_S1912_R1_001",0.991834311934081,"1M"
"105","MDA231.9x.cell1914_S1914_R1_001",0.996911306221489,"1M"
"106","MDA231.9x.cell1917_S1917_R1_001",0.991192745604998,"1M"
"107","MDA231.9x.cell1919_S1919_R1_001",0.961286028140092,"1M"
"108","MDA231.9x.cell1958_S1958_R1_001",0.992010755136484,"1M"
"109","MDA231.9x.cell1959_S1959_R1_001",1,"1M"
"110","MDA231.9x.cell1966_S1966_R1_001",0.992449401471358,"1M"
"111","MDA231.9x.cell1990_S1990_R1_001",0.985620341963854,"1M"
"112","MDA231.9x.cell1991_S1991_R1_001",0.999988201208601,"1M"
"113","MDA231.9x.cell2012_S2012_R1_001",0.99578353530302,"1M"
"114","MDA231.9x.cell203_S203_R1_001",0.995861134312983,"1M"
"115","MDA231.9x.cell2031_S2031_R1_001",0.961540220755784,"1M"
"116","MDA231.9x.cell2037_S2037_R1_001",0.989085078759573,"1M"
"117","MDA231.9x.cell2039_S2039_R1_001",0.980195460452457,"1M"
"118","MDA231.9x.cell2040_S2040_R1_001",0.976832435220713,"1M"
"119","MDA231.9x.cell2046_S2046_R1_001",0.951862045510219,"1M"
"120","MDA231.9x.cell2060_S2060_R1_001",0.99431226151735,"1M"
"121","MDA231.9x.cell2063_S2063_R1_001",0.989637584834248,"1M"
"122","MDA231.9x.cell2085_S2085_R1_001",0.985172986914239,"1M"
"123","MDA231.9x.cell2109_S2109_R1_001",0.946002397926622,"1M"
"124","MDA231.9x.cell2123_S2123_R1_001",0.999969993357506,"1M"
"125","MDA231.9x.cell2142_S2142_R1_001",0.999379040947054,"1M"
"126","MDA231.9x.cell2144_S2144_R1_001",0.95855138890133,"1M"
"127","MDA231.9x.cell2148_S2148_R1_001",0.999670557127897,"1M"
"128","MDA231.9x.cell2153_S2153_R1_001",0.999153985659779,"1M"
"129","MDA231.9x.cell2159_S2159_R1_001",0.994025277532846,"1M"
"130","MDA231.9x.cell2160_S2160_R1_001",0.989529207213801,"1M"
"131","MDA231.9x.cell2165_S2165_R1_001",0.98671274007388,"1M"
"132","MDA231.9x.cell2167_S2167_R1_001",0.991584332894041,"1M"
"133","MDA231.9x.cell2171_S2171_R1_001",1,"1M"
"134","MDA231.9x.cell2173_S2173_R1_001",0.954880124253788,"1M"
"135","MDA231.9x.cell2182_S2182_R1_001",0.97151425328276,"1M"
"136","MDA231.9x.cell22_S22_R1_001",0.999722711436012,"1M"
"137","MDA231.9x.cell220_S220_R1_001",0.953618409335934,"1M"
"138","MDA231.9x.cell2200_S2200_R1_001",0.984722186885901,"1M"
"139","MDA231.9x.cell221_S221_R1_001",0.966864425984528,"1M"
"140","MDA231.9x.cell2221_S2221_R1_001",0.970643182160245,"1M"
"141","MDA231.9x.cell2279_S2279_R1_001",0.996001945376541,"1M"
"142","MDA231.9x.cell2291_S2291_R1_001",0.998600994314257,"1M"
"143","MDA231.9x.cell2295_S2295_R1_001",0.997515019849584,"1M"
"144","MDA231.9x.cell234_S234_R1_001",1,"1M"
"145","MDA231.9x.cell236_S236_R1_001",0.982978918401899,"1M"
"146","MDA231.9x.cell237_S237_R1_001",0.999547175032949,"1M"
"147","MDA231.9x.cell2378_S2378_R1_001",0.967715087368183,"1M"
"148","MDA231.9x.cell2400_S2400_R1_001",0.999212501382979,"1M"
"149","MDA231.9x.cell2404_S2404_R1_001",0.991705904514661,"1M"
"150","MDA231.9x.cell2413_S2413_R1_001",0.957696117022038,"1M"
"151","MDA231.9x.cell2417_S2417_R1_001",0.918372380728458,"1M"
"152","MDA231.9x.cell2422_S2422_R1_001",0.956699492406649,"1M"
"153","MDA231.9x.cell2433_S2433_R1_001",0.974314385416247,"1M"
"154","MDA231.9x.cell2442_S2442_R1_001",0.974881674961762,"1M"
"155","MDA231.9x.cell2490_S2490_R1_001",0.97046948147812,"1M"
"156","MDA231.9x.cell2491_S2491_R1_001",0.988359674212105,"1M"
"157","MDA231.9x.cell2492_S2492_R1_001",0.999455022466186,"1M"
"158","MDA231.9x.cell2502_S2502_R1_001",0.981537610847434,"1M"
"159","MDA231.9x.cell2507_S2507_R1_001",0.980221193857108,"1M"
"160","MDA231.9x.cell251_S251_R1_001",0.995853698769156,"1M"
"161","MDA231.9x.cell2523_S2523_R1_001",0.992461793188249,"1M"
"162","MDA231.9x.cell2544_S2544_R1_001",0.99874443060898,"1M"
"163","MDA231.9x.cell2545_S2545_R1_001",1,"1M"
"164","MDA231.9x.cell2557_S2557_R1_001",1,"1M"
"165","MDA231.9x.cell2558_S2558_R1_001",0.999000617083142,"1M"
"166","MDA231.9x.cell257_S257_R1_001",0.98116488898071,"1M"
"167","MDA231.9x.cell2582_S2582_R1_001",0.957723373252578,"1M"
"168","MDA231.9x.cell2589_S2589_R1_001",0.992022213380507,"1M"
"169","MDA231.9x.cell2596_S2596_R1_001",0.966214595891885,"1M"
"170","MDA231.9x.cell2597_S2597_R1_001",0.998244334046063,"1M"
"171","MDA231.9x.cell2598_S2598_R1_001",0.965587394895785,"1M"
"172","MDA231.9x.cell2600_S2600_R1_001",0.972115072450614,"1M"
"173","MDA231.9x.cell2605_S2605_R1_001",0.948287718207886,"1M"
"174","MDA231.9x.cell2617_S2617_R1_001",0.964233556039743,"1M"
"175","MDA231.9x.cell2622_S2622_R1_001",0.994978373626248,"1M"
"176","MDA231.9x.cell2623_S2623_R1_001",0.986617377526833,"1M"
"177","MDA231.9x.cell2624_S2624_R1_001",0.966440647499804,"1M"
"178","MDA231.9x.cell2628_S2628_R1_001",0.939817509280559,"1M"
"179","MDA231.9x.cell2631_S2631_R1_001",0.979930987502024,"1M"
"180","MDA231.9x.cell2640_S2640_R1_001",0.993988987859814,"1M"
"181","MDA231.9x.cell2644_S2644_R1_001",0.992046354242149,"1M"
"182","MDA231.9x.cell2646_S2646_R1_001",0.947297440864577,"1M"
"183","MDA231.9x.cell2649_S2649_R1_001",0.9620602731731,"1M"
"184","MDA231.9x.cell2660_S2660_R1_001",0.96537793946497,"1M"
"185","MDA231.9x.cell2667_S2667_R1_001",0.967387075700507,"1M"
"186","MDA231.9x.cell2668_S2668_R1_001",0.972894344709837,"1M"
"187","MDA231.9x.cell2670_S2670_R1_001",0.945164235059102,"1M"
"188","MDA231.9x.cell2688_S2688_R1_001",1,"1M"
"189","MDA231.9x.cell2692_S2692_R1_001",0.962703590638105,"1M"
"190","MDA231.9x.cell2699_S2699_R1_001",0.983793160818655,"1M"
"191","MDA231.9x.cell2704_S2704_R1_001",0.959739207827969,"1M"
"192","MDA231.9x.cell2706_S2706_R1_001",0.973124643471221,"1M"
"193","MDA231.9x.cell2717_S2717_R1_001",0.999350213091176,"1M"
"194","MDA231.9x.cell2719_S2719_R1_001",0.958064320050838,"1M"
"195","MDA231.9x.cell2724_S2724_R1_001",0.960659253756106,"1M"
"196","MDA231.9x.cell2740_S2740_R1_001",0.949353332340437,"1M"
"197","MDA231.9x.cell2747_S2747_R1_001",0.978399615617313,"1M"
"198","MDA231.9x.cell275_S275_R1_001",0.968780493937073,"1M"
"199","MDA231.9x.cell2750_S2750_R1_001",0.953667302737467,"1M"
"200","MDA231.9x.cell2751_S2751_R1_001",0.989779381914778,"1M"
"201","MDA231.9x.cell2754_S2754_R1_001",0.96340881624791,"1M"
"202","MDA231.9x.cell2756_S2756_R1_001",0.945007845534725,"1M"
"203","MDA231.9x.cell2757_S2757_R1_001",0.992024471875936,"1M"
"204","MDA231.9x.cell2758_S2758_R1_001",0.998272285795943,"1M"
"205","MDA231.9x.cell2761_S2761_R1_001",0.97046353668808,"1M"
"206","MDA231.9x.cell2777_S2777_R1_001",0.991823745289003,"1M"
"207","MDA231.9x.cell2778_S2778_R1_001",0.988267935505938,"1M"
"208","MDA231.9x.cell2783_S2783_R1_001",0.989783869043165,"1M"
"209","MDA231.9x.cell2794_S2794_R1_001",0.961462802308645,"1M"
"210","MDA231.9x.cell2805_S2805_R1_001",0.998086305832265,"1M"
"211","MDA231.9x.cell2818_S2818_R1_001",0.955927814792581,"1M"
"212","MDA231.9x.cell2828_S2828_R1_001",0.999709993128408,"1M"
"213","MDA231.9x.cell2847_S2847_R1_001",0.997928766025849,"1M"
"214","MDA231.9x.cell2848_S2848_R1_001",0.996818148084629,"1M"
"215","MDA231.9x.cell2850_S2850_R1_001",0.965189618697552,"1M"
"216","MDA231.9x.cell2860_S2860_R1_001",0.999576188592977,"1M"
"217","MDA231.9x.cell2862_S2862_R1_001",0.959739129812239,"1M"
"218","MDA231.9x.cell2874_S2874_R1_001",0.997885646949258,"1M"
"219","MDA231.9x.cell2895_S2895_R1_001",0.983142779512488,"1M"
"220","MDA231.9x.cell2897_S2897_R1_001",0.98947550850884,"1M"
"221","MDA231.9x.cell2915_S2915_R1_001",0.981445279991471,"1M"
"222","MDA231.9x.cell2921_S2921_R1_001",0.969046521743112,"1M"
"223","MDA231.9x.cell2923_S2923_R1_001",0.993063377970404,"1M"
"224","MDA231.9x.cell2928_S2928_R1_001",1,"1M"
"225","MDA231.9x.cell2933_S2933_R1_001",0.997748373256491,"1M"
"226","MDA231.9x.cell294_S294_R1_001",0.963966341650496,"1M"
"227","MDA231.9x.cell2947_S2947_R1_001",0.99836589724137,"1M"
"228","MDA231.9x.cell2951_S2951_R1_001",0.988723640031,"1M"
"229","MDA231.9x.cell2956_S2956_R1_001",1,"1M"
"230","MDA231.9x.cell2957_S2957_R1_001",1,"1M"
"231","MDA231.9x.cell2958_S2958_R1_001",0.959951167372688,"1M"
"232","MDA231.9x.cell2959_S2959_R1_001",0.986344419789843,"1M"
"233","MDA231.9x.cell2965_S2965_R1_001",0.947858048211754,"1M"
"234","MDA231.9x.cell2976_S2976_R1_001",0.99313025021819,"1M"
"235","MDA231.9x.cell2977_S2977_R1_001",0.951557067054539,"1M"
"236","MDA231.9x.cell2987_S2987_R1_001",0.996815326454279,"1M"
"237","MDA231.9x.cell2988_S2988_R1_001",0.999556228053328,"1M"
"238","MDA231.9x.cell3_S3_R1_001",0.981389607403999,"1M"
"239","MDA231.9x.cell300_S300_R1_001",0.96896015418579,"1M"
"240","MDA231.9x.cell3013_S3013_R1_001",0.991644079820147,"1M"
"241","MDA231.9x.cell3019_S3019_R1_001",0.982927319427156,"1M"
"242","MDA231.9x.cell302_S302_R1_001",0.999147780874212,"1M"
"243","MDA231.9x.cell3025_S3025_R1_001",0.99375754293053,"1M"
"244","MDA231.9x.cell3027_S3027_R1_001",0.976778673156199,"1M"
"245","MDA231.9x.cell3029_S3029_R1_001",0.957085799057217,"1M"
"246","MDA231.9x.cell3036_S3036_R1_001",0.999141819871161,"1M"
"247","MDA231.9x.cell3041_S3041_R1_001",0.967542468832113,"1M"
"248","MDA231.9x.cell3045_S3045_R1_001",0.999975673509703,"1M"
"249","MDA231.9x.cell3057_S3057_R1_001",0.999955749773838,"1M"
"250","MDA231.9x.cell306_S306_R1_001",0.948993751160781,"1M"
"251","MDA231.9x.cell3064_S3064_R1_001",0.971821789374324,"1M"
"252","MDA231.9x.cell3066_S3066_R1_001",0.964603049226525,"1M"
"253","MDA231.9x.cell309_S309_R1_001",0.999841022185561,"1M"
"254","MDA231.9x.cell3095_S3095_R1_001",0.954251526618936,"1M"
"255","MDA231.9x.cell3101_S3101_R1_001",0.955504891463379,"1M"
"256","MDA231.9x.cell3104_S3104_R1_001",0.944298051434609,"1M"
"257","MDA231.9x.cell3105_S3105_R1_001",0.973247552220867,"1M"
"258","MDA231.9x.cell3110_S3110_R1_001",0.997335121450606,"1M"
"259","MDA231.9x.cell3117_S3117_R1_001",1,"1M"
"260","MDA231.9x.cell315_S315_R1_001",0.976364462157403,"1M"
"261","MDA231.9x.cell3150_S3150_R1_001",0.982381033650345,"1M"
"262","MDA231.9x.cell3151_S3151_R1_001",1,"1M"
"263","MDA231.9x.cell3152_S3152_R1_001",0.979217030337725,"1M"
"264","MDA231.9x.cell3177_S3177_R1_001",0.961866838523385,"1M"
"265","MDA231.9x.cell3178_S3178_R1_001",0.996018226605403,"1M"
"266","MDA231.9x.cell3188_S3188_R1_001",0.997891122920752,"1M"
"267","MDA231.9x.cell3189_S3189_R1_001",0.948374817619809,"1M"
"268","MDA231.9x.cell3190_S3190_R1_001",0.999317121242471,"1M"
"269","MDA231.9x.cell3191_S3191_R1_001",0.998353871054268,"1M"
"270","MDA231.9x.cell3198_S3198_R1_001",0.985325516216085,"1M"
"271","MDA231.9x.cell3206_S3206_R1_001",0.945872440977141,"1M"
"272","MDA231.9x.cell3209_S3209_R1_001",0.975017167830794,"1M"
"273","MDA231.9x.cell3216_S3216_R1_001",0.998699712038191,"1M"
"274","MDA231.9x.cell3235_S3235_R1_001",0.961569860133442,"1M"
"275","MDA231.9x.cell3244_S3244_R1_001",0.952772621698929,"1M"
"276","MDA231.9x.cell3255_S3255_R1_001",0.979346865478413,"1M"
"277","MDA231.9x.cell3256_S3256_R1_001",0.999671834904392,"1M"
"278","MDA231.9x.cell3258_S3258_R1_001",0.971726708674908,"1M"
"279","MDA231.9x.cell3265_S3265_R1_001",0.973488058976117,"1M"
"280","MDA231.9x.cell3267_S3267_R1_001",0.999679525880697,"1M"
"281","MDA231.9x.cell3275_S3275_R1_001",0.997367628645938,"1M"
"282","MDA231.9x.cell3279_S3279_R1_001",0.935658938148699,"1M"
"283","MDA231.9x.cell3281_S3281_R1_001",0.992037142082006,"1M"
"284","MDA231.9x.cell3317_S3317_R1_001",0.96463719489058,"1M"
"285","MDA231.9x.cell3324_S3324_R1_001",0.958026930184645,"1M"
